id,comment_id,video_id,commenter_name,commenter_id,comment_displayed,comment_original,likes,published_date,updated_date,total_replies,replyto
11370,UgyXAIgbukJombAEMaZ4AaABAg,0JB17nvqUlA,"Nini Prom",UCFs1H28b5m4sKeRtXvos_CA,"The Aliens better stay away from the Vatican b4 they get Sexual Abuse cover up ??.","The Aliens better stay away from the Vatican b4 they get Sexual Abuse cover up ??.",0,"2018-04-17 03:59:52","2018-04-17 03:59:52",0,null
11371,UgwDWlAnU4CkjVCV1Hp4AaABAg,0JB17nvqUlA,"Drain the swamp",UCPF-1htwq4RIk1CAd5KXrzw,"it sounds like the deep  state got to trump....omg,i hope not.Yes ,the common people suffer from all of this bullshit.","it sounds like the deep  state got to trump....omg,i hope not.Yes ,the common people suffer from all of this bullshit.",0,"2018-04-16 19:56:52","2018-04-16 19:56:52",0,null
11372,UgzgWJsntgEJyQs6PeF4AaABAg,0JB17nvqUlA,"David Reynoso",UC_tYs0_WMev9o83sEjl4NuA,"U.S. / U.K/ france Well done. .Trump put putin on check. God bless Lord jesus. PROTECT U.S. Military .amen","U.S. / U.K/ france Well done. .Trump put putin on check. God bless Lord jesus. PROTECT U.S. Military .amen",0,"2018-04-16 06:36:13","2018-04-16 06:36:13",0,null
11373,UgxVUJhyucqrnGX6Cb54AaABAg,0JB17nvqUlA,"AsWeFallAway FigTreeGeneration.",UC6hnyWLPd9K-DtGGzpnjFmA,"Deadly Wound? Ummmm. Well. How bad does the daedly wound have to be ? From what the Bible says the Deadly Wound will be pretty BAD.","Deadly Wound? Ummmm. Well. How bad does the daedly wound have to be ? From what the Bible says the Deadly Wound will be pretty BAD.",0,"2018-04-16 06:04:16","2018-04-16 06:04:16",0,null
11374,Ugz2NAiWe_ZjCHgMTW94AaABAg,0JB17nvqUlA,"cracker xxx",UCROgas_E3rJMBUxNCLj6gxw,"russia claims to have a missile that travels at 7700 mph, 10 times the speed of sound. great, but does it matter if yours kill us first and ours kills you 20 minutes later. who is the deadest?? shoot the motherfucker and lets find out","russia claims to have a missile that travels at 7700 mph, 10 times the speed of sound. great, but does it matter if yours kill us first and ours kills you 20 minutes later. who is the deadest?? shoot the motherfucker and lets find out",0,"2018-04-16 05:14:14","2018-04-16 05:14:14",0,null
11375,UgwrNFkJZR1glS5lyj54AaABAg,0JB17nvqUlA,"Wayne McGillis",UCfV2UMP_K9OV5D9smGhttQg,"What’s with all the DEMONS love.. Satan’s ass.... ?","What’s with all the DEMONS love.. Satan’s ass.... ?",0,"2018-04-16 04:37:38","2018-04-16 04:37:38",0,null
11376,Ugxh60e_f3O4pe9uWTN4AaABAg,0JB17nvqUlA,JohnMichaelVlogs,UCFucR6rnpl2coPRTqdkqxTA,"WARNS PRESIDENT OBAMA?!?!???? IM KINDA LOST I THOUGHT IT WAS TRUMP RIGHT NOW????? HMMM","WARNS PRESIDENT OBAMA?!?!???? IM KINDA LOST I THOUGHT IT WAS TRUMP RIGHT NOW????? HMMM",1,"2018-04-16 04:14:22","2018-04-16 04:14:22",0,null
11377,UgybT8ROvZy6ImGYw2x4AaABAg,0JB17nvqUlA,"donny lincoln",UC746_sbBL2PiBeL8ucl-vOA,"wars and rumors of wars!! Satan is Stirring the wicked hearts in European Areas!! God is in CONTROL!!","wars and rumors of wars!! Satan is Stirring the wicked hearts in European Areas!! God is in CONTROL!!",0,"2018-04-16 04:04:48","2018-04-16 04:04:48",0,null
11378,UgzlqutLKHCvuBgOyql4AaABAg,0JB17nvqUlA,"Martin Webb",UC-PJcCNjl_4dHkTDcnfTm-Q,"I will not be returning to this channel ... there was only 19 adds in this 29 minute video ... I expect at least 24 in that time ... so screw your channel.","I will not be returning to this channel ... there was only 19 adds in this 29 minute video ... I expect at least 24 in that time ... so screw your channel.",0,"2018-04-16 03:26:30","2018-04-16 03:26:30",0,null
11379,UgwzdaZy7OTNA9jkE4J4AaABAg,0JB17nvqUlA,"perry lc",UCQ_9IBs8PLZpCB-SZLx3l4Q,"Guess what no leader has said anything. So what century is this supposed to happen?","Guess what no leader has said anything. So what century is this supposed to happen?",0,"2018-04-16 02:26:09","2018-04-16 02:26:09",0,null
11380,UgyrNXUBuqXOkHqP4494AaABAg,0JB17nvqUlA,"Alberto Arellano Fernández",UCB__qvfLREDduZmzd8uI7bQ,"This current situation is made by reptilians to warn human fears and nobady can reject that both sides are full of reptilian graco entities that are a Satan creation!","This current situation is made by reptilians to warn human fears and nobady can reject that both sides are full of reptilian graco entities that are a Satan creation!",0,"2018-04-16 01:38:37","2018-04-16 01:38:37",0,null
11381,UgwcO49FAxx_KaNQE_B4AaABAg,0JB17nvqUlA,"Adrian Eyre",UCXEyUCk80vgAJDmImTUB2uA,"Why are you talking so fast   and shouting take a breath you twit","Why are you talking so fast   and shouting take a breath you twit",0,"2018-04-16 01:06:15","2018-04-16 01:08:16",0,null
11382,UgzcP3FMYhMaLk10YRp4AaABAg,0JB17nvqUlA,"YevthekidGS !!",UCra5Yc3F6HjZAm708R4nIdw,"Putin he ask so many times we wont friends and peace! But America Britain keep pushing","Putin he ask so many times we wont friends and peace! But America Britain keep pushing",0,"2018-04-16 00:41:20","2018-04-16 00:41:20",0,null
11383,UgwDXNvBsS1OOatFoPR4AaABAg,0JB17nvqUlA,"Ian.s. 4rd1.birkenhead",UCHB2SnZv7R2l5cdx3NQlH-Q,"Fuck Israel Hitler should culled yas all cunts","Fuck Israel Hitler should culled yas all cunts",0,"2018-04-15 23:27:22","2018-04-15 23:27:22",0,null
11384,Ugz7jPWvouGO2teTVcN4AaABAg,0JB17nvqUlA,"Scott David Lucas",UCsRDULHe7ahhqFLlK-KZD4w,"TIME LINE 23:38.......Amein, brother Steve, we are to be DISCERNING, of the  signs of the times .  Blessings upon you and your beloved family.","TIME LINE 23:38.......Amein, brother Steve, we are to be DISCERNING, of the  signs of the times .  Blessings upon you and your beloved family.",0,"2018-04-15 22:06:17","2018-04-15 22:06:17",0,null
11385,UgyQu0ORPLVLsl0ulqR4AaABAg,0JB17nvqUlA,"Damon Cross",UCmbauqUeYtX5BLQVo_sBbaw,"Her laughter is derived from fear and denial","Her laughter is derived from fear and denial",0,"2018-04-15 21:40:12","2018-04-15 21:40:12",0,null
11386,UgwQmq_kq45m9U6lU_t4AaABAg,0JB17nvqUlA,"Colleen Pate",UCAKlio-HXqlxH2WXG2rsr-w,"The idea that ANYONE has a bomb as big as you are saying is frightening. There can be no use for such a thing. I think there is a lot we dont know but what Im thinking is that it is a horrible thing for the Syrian people to live in what must be something like hell.","The idea that ANYONE has a bomb as big as you are saying is frightening. There can be no use for such a thing. I think there is a lot we dont know but what Im thinking is that it is a horrible thing for the Syrian people to live in what must be something like hell.",0,"2018-04-15 21:37:10","2018-04-15 21:37:10",0,null
11387,UgymoWXwSpgyeTZdV0Z4AaABAg,0JB17nvqUlA,f150bc,UCArli0S83O6NDUxERNs4JjA,"Putin builds bigger and bigger weapons a bomb that kills countries, a madman with no empathy for the innocent people he will kill who are not fighting him.His actions speak volumes more than his words.It is time Putin speaks with Trump in a very serious way for all our sakes,  and China and North Korea as well .","Putin builds bigger and bigger weapons a bomb that kills countries, a madman with no empathy for the innocent people he will kill who are not fighting him.His actions speak volumes more than his words.It is time Putin speaks with Trump in a very serious way for all our sakes,  and China and North Korea as well .",1,"2018-04-15 21:31:14","2018-04-15 21:31:14",0,null
11388,Ugxoc41GV6npICpuoDF4AaABAg,0JB17nvqUlA,"crazy horse",UCr3Wv367lTpemBxGwbCODbQ,"US has plenty of secret weapons and UK what you gonna fire snow mobiles at us I highly respected Mr Putin but NK and China behind this funny how Kimmy has shut his piehole I smell a dirty rat ( no Im not James Cagney) rip if may God have mercy on us and Satan. Deal              on the great pretenders","US has plenty of secret weapons and UK what you gonna fire snow mobiles at us I highly respected Mr Putin but NK and China behind this funny how Kimmy has shut his piehole I smell a dirty rat ( no Im not James Cagney) rip if may God have mercy on us and Satan. Deal              on the great pretenders",0,"2018-04-15 21:24:54","2018-04-15 21:24:54",0,null
11389,UgwBG0qgF8JYwQ-MS8B4AaABAg,0JB17nvqUlA,"Scott Porter",UC9FJk4jpWP1YuLnH99vD_1w,"Thank God for ad blocker","Thank God for ad blocker",2,"2018-04-15 21:17:49","2018-04-15 21:17:49",0,null
11390,UgxT7uGlZX3bD4gvlPp4AaABAg,0JB17nvqUlA,"crazy horse",UCr3Wv367lTpemBxGwbCODbQ,"Press all the big red buttons and get on with it blow earth to pieces no survival this war not even in your hideholes your arse toast as well go on brave heart press the fucking buttons","Press all the big red buttons and get on with it blow earth to pieces no survival this war not even in your hideholes your arse toast as well go on brave heart press the fucking buttons",0,"2018-04-15 21:15:52","2018-04-15 21:15:52",0,null
11391,UgyFjeBrpG7u4xr5ydV4AaABAg,0JB17nvqUlA,"Art Grovér",UCspB1GMVq81wTeml1e1ZJBg,"If you nuke us the radiation will sterilize are fields and you are people will stop as well to hurt America is to hurt yourself we feed the world","If you nuke us the radiation will sterilize are fields and you are people will stop as well to hurt America is to hurt yourself we feed the world",0,"2018-04-15 20:55:21","2018-04-15 20:55:21",0,null
11392,Ugxc4nBszm_zWwXeOrd4AaABAg,0JB17nvqUlA,"BAABAAJE BABA",UC5ZEgMt1NAFCqkKgMRI3iRw,"Putin will never even fire a bullet. he is extremely rich and wants to enjoy his next six years in Kremlin","Putin will never even fire a bullet. he is extremely rich and wants to enjoy his next six years in Kremlin",0,"2018-04-15 20:17:45","2018-04-15 20:17:45",0,null
11393,UgzokZaAjFw8NvXRu5Z4AaABAg,0JB17nvqUlA,"Billy Jackson",UCQocWrGXK0XLDwUf2u9Xpcg,"The USA needs to dump the Federal Reserve PRIVATE BANK and print real US Greenbacks.","The USA needs to dump the Federal Reserve PRIVATE BANK and print real US Greenbacks.",0,"2018-04-15 19:53:00","2018-04-15 19:53:00",0,null
11394,UgzYOEtbEf_67mZKU_V4AaABAg,0JB17nvqUlA,"Billy Jackson",UCQocWrGXK0XLDwUf2u9Xpcg,"Oh, Russia can have the S300 and $00 systems but the US can not have the THAD?...To hell with Russia.","Oh, Russia can have the S300 and $00 systems but the US can not have the THAD?...To hell with Russia.",0,"2018-04-15 19:50:01","2018-04-15 19:50:01",0,null
11395,UgylnF-BRmwZ4eURn9t4AaABAg,0JB17nvqUlA,"Helmut Schmacker",UCJZaxjKlNoh7MTdDYUK1SDQ,"Only gay frogs can save us now.","Only gay frogs can save us now.",0,"2018-04-15 19:48:19","2018-04-15 19:48:19",0,null
11396,Ugx6TnlSK5g56U_N0254AaABAg,0JB17nvqUlA,"David Smith",UCh0uIvDqHMkG7ikLTGuoVJQ,"Putin gave the orders for that poison gas attack on the Syrians bytes Asad.","Putin gave the orders for that poison gas attack on the Syrians bytes Asad.",0,"2018-04-15 19:38:12","2018-04-15 19:38:12",0,null
11397,Ugyi9Y9zNpFev96zSpB4AaABAg,0JB17nvqUlA,"Nobody Important",UCWfyDd4qNTFU2ubvNuvnksw,"Who did your intro? Text disappears before all letters form. Us slow readers are annoyed.","Who did your intro? Text disappears before all letters form. Us slow readers are annoyed.",0,"2018-04-15 19:05:59","2018-04-15 19:05:59",0,null
11398,UgwlZKO8gU7Dgt-rbQp4AaABAg,0JB17nvqUlA,"Tommy Lee",UCadd7zieVtnHWqUQInDHFNw,"Humanity took millions of years to survive, develop and make this world for us the better place to live, but these leaders from hell are dragging us to the dark ages & pre-historic time once again. When real WW3 starts and ends, the people from the other planet will call our planet with the name of  RED PLANET. It is because from the space, this planet will be full of blood. Why these two  Gog and Magog are willing to destroy all of us? I can not think of life after nuclear war becasue the life will be pathetic and un-livable and we, if survived the WW3, will die one by one miserably. For Gods sake, do not destroy this beautiful planet that God has given us, let it be habitable for human being. Take all the resources of the world and distribute among each other (50%-50%) but do not destroy the future of mankind, your children, our children and all other living being of this planet. I wish someone pass this message to arrogant Trump, furious Putin, silly follower Terresa and duffer president Asad. Peace be on all human being. Love for all, Hatred for none. LOVE LIFE, NOT ONLY YOUR OWN BUT THE LIFE OF THE OTHERS TOO.","Humanity took millions of years to survive, develop and make this world for us the better place to live, but these leaders from hell are dragging us to the dark ages & pre-historic time once again. When real WW3 starts and ends, the people from the other planet will call our planet with the name of  RED PLANET. It is because from the space, this planet will be full of blood. Why these two  Gog and Magog are willing to destroy all of us? I can not think of life after nuclear war becasue the life will be pathetic and un-livable and we, if survived the WW3, will die one by one miserably. For Gods sake, do not destroy this beautiful planet that God has given us, let it be habitable for human being. Take all the resources of the world and distribute among each other (50%-50%) but do not destroy the future of mankind, your children, our children and all other living being of this planet. I wish someone pass this message to arrogant Trump, furious Putin, silly follower Terresa and duffer president Asad. Peace be on all human being. Love for all, Hatred for none. LOVE LIFE, NOT ONLY YOUR OWN BUT THE LIFE OF THE OTHERS TOO.",0,"2018-04-15 19:05:37","2018-04-15 19:05:37",0,null
11399,Ugxz2lYo5SgCLQTeR7Z4AaABAg,0JB17nvqUlA,"dog of war",UCFLxMCh6ul5yQUrwriIIrvg,"Another Russian lie","Another Russian lie",0,"2018-04-15 18:45:17","2018-04-15 18:45:17",0,null
11400,Ugx_CY-oFQ7p7k4S0y54AaABAg,0JB17nvqUlA,"Lene Antônia",UClrJ84V9dOncvScEccVmLbQ,"jájesus is coming","jájesus is coming",0,"2018-04-15 18:40:13","2018-04-15 18:40:13",0,null
11401,UgwJtUfqqPxFYEhD8Rt4AaABAg,0JB17nvqUlA,"zain jiva",UC86p8xC8g94P-jOmBjFVFMw,P,P,0,"2018-04-15 18:39:02","2018-04-15 18:39:02",0,null
11402,Ugw3A_-_lncK28ipj2h4AaABAg,0JB17nvqUlA,jmhurk01,UC3n0Rd5StmhcPfVQokasKbw,"Can you please put a few more ads in this video? XD","Can you please put a few more ads in this video? XD",1,"2018-04-15 18:37:19","2018-04-15 18:37:19",0,null
11403,UgwwfvuLI2ZU6rAQHgN4AaABAg,0JB17nvqUlA,"Andrea Gaye Scott Westfall",UCEz6_whDdKridUjSGJj4OPg,"Phooey, NO date!?","Phooey, NO date!?",0,"2018-04-15 18:21:13","2018-04-15 18:21:13",0,null
