id,comment_id,video_id,commenter_name,commenter_id,comment_displayed,comment_original,likes,published_date,updated_date,total_replies,replyto
11759,Ugy4srb7jevVTeosMCN4AaABAg,2xAxI0KihLY,"Larry Bannister",UCEq1pcBY6GN3DmLa5jzb9wQ,"The key here is dont throw rock when living in glass house","The key here is dont throw rock when living in glass house",0,"2018-04-20 02:54:02","2018-04-20 02:54:02",0,null
11760,Ugz_dd9vv0d_lJNfRmx4AaABAg,2xAxI0KihLY,Mr619jose619,UCFTrj4YUM70k-6YTBdAJleQ,"Funny how everyone thinks its gonna be a nuke war. More like its gonna be a normal war nuke is just the last thing to do if they feel war is being lost. Nuke is just the tantrum button","Funny how everyone thinks its gonna be a nuke war. More like its gonna be a normal war nuke is just the last thing to do if they feel war is being lost. Nuke is just the tantrum button",0,"2018-04-19 19:12:10","2018-04-19 19:12:10",0,null
11761,Ugx7CE2xhL4_98S-nvx4AaABAg,2xAxI0KihLY,"Jonas Antley",UCR2B3MDyTyP5Aptig9K84bg,"Let. Em march through our hood oh wait they wont as you said. Planes ... Vladdy daddy knows bout fl the gunshine state lmao hed have to bomb out the most concentrated population of veterans in the us first or else their would be a rifle behind every blade of grass lmao","Let. Em march through our hood oh wait they wont as you said. Planes ... Vladdy daddy knows bout fl the gunshine state lmao hed have to bomb out the most concentrated population of veterans in the us first or else their would be a rifle behind every blade of grass lmao",0,"2018-04-19 14:36:55","2018-04-19 14:36:55",0,null
11762,Ugxh1tvmk_RBj8Wd6aZ4AaABAg,2xAxI0KihLY,"Mark Fischer",UCyc6usN3vNtDzD0A01yXdnQ,"Cuba and Vietnam are hoping for better relations with the US. If they allow Russia to build military bases in their country, relations with the US will turn very bad very quickly.","Cuba and Vietnam are hoping for better relations with the US. If they allow Russia to build military bases in their country, relations with the US will turn very bad very quickly.",0,"2018-04-19 08:15:41","2018-04-19 08:15:41",0,null
11763,UgxkSXvz-PTrqgDbRlh4AaABAg,2xAxI0KihLY,"Neil Korpal",UCqm_-VM9upFXEQxO6YCqhHg,"This is what America get for stupid Obama putting Missiles on Russian Border . So now you have superfast Russian Missiles to level USA to nothing 90Miles of cost of USA . Now you Dip sticks Washington have your wake up call that you do not wage war on Russian People or GOD .
America wants to be a land of Satan so it will burn","This is what America get for stupid Obama putting Missiles on Russian Border . So now you have superfast Russian Missiles to level USA to nothing 90Miles of cost of USA . Now you Dip sticks Washington have your wake up call that you do not wage war on Russian People or GOD .
America wants to be a land of Satan so it will burn",0,"2018-04-19 08:13:19","2018-04-19 08:13:19",0,null
11764,UgwrYjAtMfVSvwHJIEZ4AaABAg,2xAxI0KihLY,"paul john",UCGvjFO0j6K-UsFTWN0eZllQ,"We need more black african Muslims to go back to africa,, that’s racist.","We need more black african Muslims to go back to africa,, that’s racist.",1,"2018-04-19 06:59:29","2018-04-19 06:59:29",0,null
11765,Ugz0aq3-Szokxw8HezB4AaABAg,2xAxI0KihLY,"Daniel.D Darwish",UCmz3uLiqjYqMPZTXWcUCMDg,"When Zionist talk it full of lies... and I proud to be anti-Semitic, please bomb America and israhell the satanic people so many there!","When Zionist talk it full of lies... and I proud to be anti-Semitic, please bomb America and israhell the satanic people so many there!",0,"2018-04-19 04:16:22","2018-04-19 04:16:22",0,null
11766,UgxQCow66BUoPMQINjN4AaABAg,2xAxI0KihLY,"Louis Styrzo",UCct8VKTULGqr-Soiz2oKBaw,"and Mexico will have them set up basis right in Mexico thats how backstabbing they are","and Mexico will have them set up basis right in Mexico thats how backstabbing they are",0,"2018-04-18 22:06:27","2018-04-18 22:06:27",0,null
11767,Ugw5R-_dqBBTBsu1Q_B4AaABAg,2xAxI0KihLY,"Malang Mendy",UCyHAuzf1hijidVEHZgVSEXw,"Russian have a base in cuba long time ago its now in the madia","Russian have a base in cuba long time ago its now in the madia",0,"2018-04-18 10:06:58","2018-04-18 10:06:58",0,null
11768,UgycUr-MdRVN5VX0rUt4AaABAg,2xAxI0KihLY,HIYIELD1313,UCpkxoAb7KUffe8Ijl86H2EA,"I think he said October 7th. So this would be old news really old","I think he said October 7th. So this would be old news really old",0,"2018-04-18 06:23:13","2018-04-18 06:23:13",0,null
11769,UgyGTA-uxNDQ5yTwRkV4AaABAg,2xAxI0KihLY,"Harold Foltmer",UCacKB5-urU12kinassCqWNg,"NEED to put EMBARGO BACK ON Cuba IT Should Not Have N Been Lifted BY THE WORST OR ONE of the Top THREE President of All Time Fuck he made the WORST of things And MR.Trump do the same as President J.F.K. One of our TOP THREE Presidents of all time GET OUT of Cuba not only military and Ships AND Weapons ARE my finger is on the bomb THE NEUCLEAR Bomb and its ticken TEN and counting","NEED to put EMBARGO BACK ON Cuba IT Should Not Have N Been Lifted BY THE WORST OR ONE of the Top THREE President of All Time Fuck he made the WORST of things And MR.Trump do the same as President J.F.K. One of our TOP THREE Presidents of all time GET OUT of Cuba not only military and Ships AND Weapons ARE my finger is on the bomb THE NEUCLEAR Bomb and its ticken TEN and counting",0,"2018-04-18 01:02:31","2018-04-18 01:02:31",0,null
11770,Ugy1SdX8ZfCVRi5eZAV4AaABAg,2xAxI0KihLY,"Ray Brightwell",UCfAcj77m6VTgNl-YgGWsd7Q,"On a very serious note , I was 10 but I remember how intense the Cuban Crisis was for a child living in Florida  we where so proud of Pres. Kennedy ! In our eyes he beat back the the Red Menace , single handedly !!","On a very serious note , I was 10 but I remember how intense the Cuban Crisis was for a child living in Florida  we where so proud of Pres. Kennedy ! In our eyes he beat back the the Red Menace , single handedly !!",0,"2018-04-18 00:23:59","2018-04-18 00:23:59",0,null
11771,Ugz7HvBUCegDvzx7FN94AaABAg,2xAxI0KihLY,"Ray Brightwell",UCfAcj77m6VTgNl-YgGWsd7Q,"this is producing  horripalations ( goosebumps ) Gotcha !","this is producing  horripalations ( goosebumps ) Gotcha !",0,"2018-04-18 00:09:08","2018-04-18 00:09:08",0,null
