id,comment_id,video_id,commenter_name,commenter_id,comment_displayed,comment_original,likes,published_date,updated_date,total_replies,replyto
5699,UgzhNiq6Wq0Ug_a8cUB4AaABAg,3tT2qGWQgc4,SOTHISISDEMOCRACY,UCIreglA2pnoosm5OIK5lSMA,"you can talk talk talk and keep  talkin forever, fact is that in the END  all  this  useless bravado is gonna KILL YOU AND YOUR CHILDREN","you can talk talk talk and keep  talkin forever, fact is that in the END  all  this  useless bravado is gonna KILL YOU AND YOUR CHILDREN",0,"2018-04-17 13:41:43","2018-04-17 13:41:43",0,null
5700,UgzcS-PfaOz2XUpDnSZ4AaABAg,3tT2qGWQgc4,"Be Gone Loserfucker You Prove To Not Know Me",UCqezEiD2Q5-S6ZeXfDz5pdw,"THESE LUNATIC MANIACS CAN ALL SERIOUSLY BE IMMEDIATELY KILLED NOW.","THESE LUNATIC MANIACS CAN ALL SERIOUSLY BE IMMEDIATELY KILLED NOW.",0,"2018-04-16 16:14:14","2018-04-16 16:14:14",0,null
5701,Ugx4p09WPJNVPb7qOut4AaABAg,3tT2qGWQgc4,"Be Gone Loserfucker You Prove To Not Know Me",UCqezEiD2Q5-S6ZeXfDz5pdw,"THANK YOU PEOPLE FROM ALL OVER THE WORLD WHO ARE AGAINST THESE PEOPLE WHO PROVED THAT YOU ARE ACCURATE AGAINST THESE INSANE PREDATOR LUNATICS FOR ONLY UP TO 50 YEARS!! THAT IS ALL JUST FACTUALLY 50 YEARS. AND THEY ARE INDEED INFERIORS WHO I HAD NO IDEA HOW SEVERELY INSANE FICTIONALIZING PREDATOR INSANE MANIACS THAT THEY ALL FACTUALLY ARE AS RABID ANIMALS AND YOU ALL WHO SOUGHT ME OUT DID. THANK YOU VERY MUCH ALL COUNTRIES!","THANK YOU PEOPLE FROM ALL OVER THE WORLD WHO ARE AGAINST THESE PEOPLE WHO PROVED THAT YOU ARE ACCURATE AGAINST THESE INSANE PREDATOR LUNATICS FOR ONLY UP TO 50 YEARS!! THAT IS ALL JUST FACTUALLY 50 YEARS. AND THEY ARE INDEED INFERIORS WHO I HAD NO IDEA HOW SEVERELY INSANE FICTIONALIZING PREDATOR INSANE MANIACS THAT THEY ALL FACTUALLY ARE AS RABID ANIMALS AND YOU ALL WHO SOUGHT ME OUT DID. THANK YOU VERY MUCH ALL COUNTRIES!",0,"2018-04-16 15:58:53","2018-04-16 15:58:53",0,null
5702,UgykxjWE-x_FHeUQUYF4AaABAg,3tT2qGWQgc4,"Be Gone Loserfucker You Prove To Not Know Me",UCqezEiD2Q5-S6ZeXfDz5pdw,"THESE PSYCHOTIC BASTARDS AND BITCHES ANGERED AT THE TRUTH LOADED AGAINST THEM LIKE A NUCLEAR ARSENAL TO BE THE CAUSE OF WW3!","THESE PSYCHOTIC BASTARDS AND BITCHES ANGERED AT THE TRUTH LOADED AGAINST THEM LIKE A NUCLEAR ARSENAL TO BE THE CAUSE OF WW3!",0,"2018-04-16 15:50:23","2018-04-16 15:50:23",0,null
5703,UgxdQZy94UB09CNf8MJ4AaABAg,3tT2qGWQgc4,"Be Gone Loserfucker You Prove To Not Know Me",UCqezEiD2Q5-S6ZeXfDz5pdw,"YOU HAVE MY PERMISSION TO KILL ALL OF THESE SEVERELY PSYCHOTIC LUNATIC INSANE ASYLUM PREDATOR RELIGIOUS SEXUAL PREDATOR ARROGANT DID I SAY WHOPPER ARROGANT MANIAC FICTIONALIZING ARROGANT RABID MONSTER ANIMALISTIC INHUMANE IMBECILES. SICC EM! THEY WANT TO DIE ANYWAYS! THEY ARE THE MOST NASTY UGLY VICIOUS MALICIOUS DISGRACEFUL DISGUSTING DESPICABLE DEPLORABLE SEVERELY HIGH OCTANE INSANITY LOWEST OF THE LOWEST WHO DO WANT TO RETURN TO 100,00 YEARS AGO AND WALK ON ALL FOURS ONCE AGAIN.","YOU HAVE MY PERMISSION TO KILL ALL OF THESE SEVERELY PSYCHOTIC LUNATIC INSANE ASYLUM PREDATOR RELIGIOUS SEXUAL PREDATOR ARROGANT DID I SAY WHOPPER ARROGANT MANIAC FICTIONALIZING ARROGANT RABID MONSTER ANIMALISTIC INHUMANE IMBECILES. SICC EM! THEY WANT TO DIE ANYWAYS! THEY ARE THE MOST NASTY UGLY VICIOUS MALICIOUS DISGRACEFUL DISGUSTING DESPICABLE DEPLORABLE SEVERELY HIGH OCTANE INSANITY LOWEST OF THE LOWEST WHO DO WANT TO RETURN TO 100,00 YEARS AGO AND WALK ON ALL FOURS ONCE AGAIN.",0,"2018-04-16 15:38:00","2018-04-16 15:44:22",0,null
5704,UgzhnUBVmPPUIE2-LG94AaABAg,3tT2qGWQgc4,"ReeEEE! NORMIEGETOUT!!",UCOSp2pOPHv0P2L25SqyZKVg,"the answer to 1984 is 14/88 mothafucka.","the answer to 1984 is 14/88 mothafucka.",0,"2018-04-16 03:04:42","2018-04-16 03:04:42",0,null
5705,UgzUFV5w8d0yYGoEDSV4AaABAg,3tT2qGWQgc4,"Theondra Welch",UCwHFAnyvbY_2cSSeev48Ssg,"Gd info but this isnt about religion its about those resources Syria is not gonna be like Iraq thats why they got Russia backing them to my Americans ask urself would USA care if there no resources there nope for those how think its them versus us your wrong Muslim are in this country over 3 million plus you think if its about religion war wld b on our country yes we have guns and love mines but you cant stop what you cant see you see me a proud blk American you see them cant tell if there blk or white. So how you gonna one whos attacking who just something for all to think about ????????","Gd info but this isnt about religion its about those resources Syria is not gonna be like Iraq thats why they got Russia backing them to my Americans ask urself would USA care if there no resources there nope for those how think its them versus us your wrong Muslim are in this country over 3 million plus you think if its about religion war wld b on our country yes we have guns and love mines but you cant stop what you cant see you see me a proud blk American you see them cant tell if there blk or white. So how you gonna one whos attacking who just something for all to think about ????????",0,"2018-04-15 22:23:52","2018-04-15 22:23:52",0,null
5706,Ugy8ejHwwkdFGlnghIV4AaABAg,3tT2qGWQgc4,"Toby Tyler",UCmCSxIzxK1mSnyC5Zm30vuA,"Prepare the Way for the Messiah, He will Pray to the Father for Us to Have the Spirit of God, for a Teacher, and Comforter, Forever, in the Bible book of John, chapter 14, verse 26... John, chapters 14, 15, and 16, Teach Us How to Have the Spirit of Truth, Make a Home Within Us, The Words the Messiah Speaks to Us are Spirit, and they are Life...","Prepare the Way for the Messiah, He will Pray to the Father for Us to Have the Spirit of God, for a Teacher, and Comforter, Forever, in the Bible book of John, chapter 14, verse 26... John, chapters 14, 15, and 16, Teach Us How to Have the Spirit of Truth, Make a Home Within Us, The Words the Messiah Speaks to Us are Spirit, and they are Life...",0,"2018-04-15 21:55:39","2018-04-15 21:55:39",0,null
5707,UgwL87thOHPCBVftpal4AaABAg,3tT2qGWQgc4,"carlos ordones",UC3I1sdfc4jBW-Sa3MidKOXg,"WHAT ARE WE DOING IN SYRIA, FIGHTING FOR THOSE SHIT PEOPLE","WHAT ARE WE DOING IN SYRIA, FIGHTING FOR THOSE SHIT PEOPLE",0,"2018-04-15 21:27:44","2018-04-15 21:27:44",0,null
5708,UgxaDjfNtUt6pgpKhsB4AaABAg,3tT2qGWQgc4,"Susan Demournay",UCR3004l-zavyzueo3zJc19A,"Whats up with trump since he has been in power the world is going to pot get trump out ww3 will if you dont get this person out of power. Funny in it how puttin got acused of gettin trump in to power and look now they are at each other throut","Whats up with trump since he has been in power the world is going to pot get trump out ww3 will if you dont get this person out of power. Funny in it how puttin got acused of gettin trump in to power and look now they are at each other throut",0,"2018-04-15 20:56:20","2018-04-15 20:57:37",0,null
