id,comment_id,video_id,commenter_name,commenter_id,comment_displayed,comment_original,likes,published_date,updated_date,total_replies,replyto
14648,UgxbQ-ZfkaaZy5iCwu54AaABAg,DgA6QhzRnvY,"SALIM SHA",UCpEdVZhDQ7Dp9nCpaKNrzqA,"We support Putin.","We support Putin.",0,"2018-04-20 04:33:45","2018-04-20 04:33:45",0,null
14649,Ugzd_8ryAK9t3DKCqKp4AaABAg,DgA6QhzRnvY,"Captain Howdy",UCI-6rAvCYqDL2asySgpnxIA,"American people are basically slaves to the global Zionists and there corrupt gentile government.We are artificially hydrated by Jewish owned banks,hollywood and media.Please help us,America is on life support. it is a fake front door,knock it off its hinges and a lot of people will support you.And the ones who dont are mostly jews,white communists,afro americans and their long offspring of satanic culture.","American people are basically slaves to the global Zionists and there corrupt gentile government.We are artificially hydrated by Jewish owned banks,hollywood and media.Please help us,America is on life support. it is a fake front door,knock it off its hinges and a lot of people will support you.And the ones who dont are mostly jews,white communists,afro americans and their long offspring of satanic culture.",0,"2018-04-20 03:31:18","2018-04-20 03:36:14",0,null
14650,UgwG_rsStE8jQHoVaRp4AaABAg,DgA6QhzRnvY,softminimal1,UC0oKUkEgwFbehBXuC34F1AA,"Fuck the Russian government!","Fuck the Russian government!",0,"2018-04-20 02:17:06","2018-04-20 02:17:06",0,null
14651,UgxBLxpUsXVGZAqamQ54AaABAg,DgA6QhzRnvY,"Ng Kim San",UCQrn3lnWH4iL_YBt3mGCtGA,"[ Mental vs Physical efforts ]
Mental without physical efforts, Mental mind thought shall be a elution and hypnosis in the public market, other countries are strong due physical efforts in times contribution from standard productions and education are economy good support into environment with smooth finances circulation within public market, for mental minds from investment and gambling risk in market like stock and gold investment without physical effort they are more overall elution with hypnosis maze in drama advertisement boosting motion like blowing many balloons to some extend limited into unstable theory in global countries infrastructure, when public faced losses it shall be the true theory experience appear to pushed down the prediction theories from untrue statements, if Western countries can still follow Ex-President Obama foot steps their economy shall be much more stable from now with some healthy policy, physical honest effort always overcomes elution and hypnosis mental theory, which physical contribution benefits and contributed to public with healthy signs and feeling wealthy in mind.","[ Mental vs Physical efforts ]
Mental without physical efforts, Mental mind thought shall be a elution and hypnosis in the public market, other countries are strong due physical efforts in times contribution from standard productions and education are economy good support into environment with smooth finances circulation within public market, for mental minds from investment and gambling risk in market like stock and gold investment without physical effort they are more overall elution with hypnosis maze in drama advertisement boosting motion like blowing many balloons to some extend limited into unstable theory in global countries infrastructure, when public faced losses it shall be the true theory experience appear to pushed down the prediction theories from untrue statements, if Western countries can still follow Ex-President Obama foot steps their economy shall be much more stable from now with some healthy policy, physical honest effort always overcomes elution and hypnosis mental theory, which physical contribution benefits and contributed to public with healthy signs and feeling wealthy in mind.",0,"2018-04-20 02:10:50","2018-04-20 02:10:50",0,null
14652,Ugx4NabBXcE93VHzJWt4AaABAg,DgA6QhzRnvY,grumpgut,UC81r1lCnL0fD6YcNCeBeFug,"There is no way anyone takes this load of pablum seriously .... if so  keep taking your meds","There is no way anyone takes this load of pablum seriously .... if so  keep taking your meds",0,"2018-04-20 02:09:51","2018-04-20 02:09:51",0,null
14653,Ugz4yXxjd27EiFxNm6V4AaABAg,DgA6QhzRnvY,"Von Skeet Media Worldwide",UCZOLoPNYWE1y-5Dq5mz5FJQ,"Fear mongering bull shit. You real americans think the military and police are gonna turn on civilians, so fucking stupid, look around they are trying to get everyone to fight each other by creating the this social dystopia of propaganda and media sensationalism of stupid pointless shit. Same thing the deep state tries to do and has done to overthrow governments. LOOK AT YOUR HISTORY!","Fear mongering bull shit. You real americans think the military and police are gonna turn on civilians, so fucking stupid, look around they are trying to get everyone to fight each other by creating the this social dystopia of propaganda and media sensationalism of stupid pointless shit. Same thing the deep state tries to do and has done to overthrow governments. LOOK AT YOUR HISTORY!",0,"2018-04-20 02:01:11","2018-04-20 02:01:11",0,null
14654,Ugy5kjyAAM-EKGhsTDx4AaABAg,DgA6QhzRnvY,"Igor M",UCnIARDovh8p77rxQWqknagw,"US, AND NATO WOULD GET A BLOODY NOSE BY THE RUSSIAN SUPERIOR POWER!","US, AND NATO WOULD GET A BLOODY NOSE BY THE RUSSIAN SUPERIOR POWER!",0,"2018-04-20 01:32:32","2018-04-20 01:32:32",0,null
14655,Ugw2dibUDGRt18vHuiV4AaABAg,DgA6QhzRnvY,"I’m S0Lo Pro",UCyfhK7autCmc9NU5r1qFquQ,"Why can’t all fucking country’s just be chill and not threat","Why can’t all fucking country’s just be chill and not threat",0,"2018-04-20 01:14:40","2018-04-20 01:14:40",0,null
14656,Ugy-dBjaHwrrA8Fld714AaABAg,DgA6QhzRnvY,"Bill Smith",UCWjNmeGa0NKERRjtBMVkLyA,"HATE TO DO IT TO RUSSIA BUT IF WE CAN CONTAMINATE ALLOTA THE PLANET, LIFE WILL BE MOST UNPLEASENT FOR CUMCATHER NIGGER MUSLIMS. THEU WILL DIE SLOW AND PAINFUL.","HATE TO DO IT TO RUSSIA BUT IF WE CAN CONTAMINATE ALLOTA THE PLANET, LIFE WILL BE MOST UNPLEASENT FOR CUMCATHER NIGGER MUSLIMS. THEU WILL DIE SLOW AND PAINFUL.",0,"2018-04-20 00:56:37","2018-04-20 00:56:37",0,null
14657,UgyFlO-Xu7W-N2shpY94AaABAg,DgA6QhzRnvY,"YaFav Goon",UCDhESS5WPpe9qCTukH1nJ5A,"Omg ww3 this ww3 that shut  the fuck up  nonones going to start ww3  u people need a fucking life tommorw is 420 go smoke or some shit goddam  bunch fucking weirdos","Omg ww3 this ww3 that shut  the fuck up  nonones going to start ww3  u people need a fucking life tommorw is 420 go smoke or some shit goddam  bunch fucking weirdos",1,"2018-04-20 00:51:52","2018-04-20 00:51:52",1,null
