id,comment_id,video_id,commenter_name,commenter_id,comment_displayed,comment_original,likes,published_date,updated_date,total_replies,replyto
13785,UgzZklKeYm-q8feYw3J4AaABAg,Gu0hT43f52Y,"da ne",UCjdKV2Tjo6QJiU3I1MZ4h8w,"If Israel keeps insighting war in the Middle East they could become the target for world peace.","If Israel keeps insighting war in the Middle East they could become the target for world peace.",0,"2018-04-17 19:43:31","2018-04-17 19:43:31",0,null
13786,Ugz1w2lVm7EUg0OSLOB4AaABAg,Gu0hT43f52Y,"Diane Myers",UCW9tHzvjb6eIo-BZGG68P-w,"Ok Alex, drama king!","Ok Alex, drama king!",0,"2018-04-15 21:45:12","2018-04-15 21:45:12",0,null
13787,Ugy_tnkykIa3tsEenPZ4AaABAg,Gu0hT43f52Y,"Christine Langley",UChDzhPf8_mSjek98B2TXmHA,"Lucky for the US and the world Putin is a very smart man and doesnt want war but the Israeli controlled US is doing ALL than can to start WW3!
Yeah the Americans can see the evil in other countrys but not their own!","Lucky for the US and the world Putin is a very smart man and doesnt want war but the Israeli controlled US is doing ALL than can to start WW3!
Yeah the Americans can see the evil in other countrys but not their own!",0,"2018-04-15 03:27:08","2018-04-15 03:27:08",1,null
13788,Ugy_tnkykIa3tsEenPZ4AaABAg.8f2N2ua7mlA8f3atVh7GVN,Gu0hT43f52Y,"wolf cub",UCtEfXnWHpwqnuViEQeS3CMw,"so 8 million israelis control 330 million americans , and how so little bird ?..meanwhile 4 million christian evangelicals fully support israel, fact..you are consumed by bigotry and hate , you dont sound being too smart !","so 8 million israelis control 330 million americans , and how so little bird ?..meanwhile 4 million christian evangelicals fully support israel, fact..you are consumed by bigotry and hate , you dont sound being too smart !",0,"2018-04-15 14:56:01","2018-04-15 14:56:01",0,Ugy_tnkykIa3tsEenPZ4AaABAg
13789,UgzcTBRy-k53C_y8SLB4AaABAg,Gu0hT43f52Y,"Austin Lee",UCsf1AxNEkX5SmyzWHA4rr0w,"No bulshit!! Let there be WAR. I want to everybody vanish in this Planet. ( West had destroyed this World)","No bulshit!! Let there be WAR. I want to everybody vanish in this Planet. ( West had destroyed this World)",0,"2018-04-14 22:05:29","2018-04-14 22:05:29",0,null
13790,Ugw-nHvBEh44SlSHRqJ4AaABAg,Gu0hT43f52Y,"Mike Nelson",UCvox45uHSHdSbShfBqLxXCA,"Is this the place where I post an ad for a yard sale. ....lol","Is this the place where I post an ad for a yard sale. ....lol",0,"2018-04-14 21:09:52","2018-04-14 21:09:52",0,null
13791,UgzjZhQSwqFHUctEnqR4AaABAg,Gu0hT43f52Y,"Mike Chil",UCEGiXxprLhDdOPddzDZ9aZw,"why not only us.instate UK and France.r.they.scere.of.who.?","why not only us.instate UK and France.r.they.scere.of.who.?",0,"2018-04-14 19:01:18","2018-04-14 19:01:18",0,null
13792,UgxAZdfKBo8uh2cI1pV4AaABAg,Gu0hT43f52Y,"Bruce McLennan",UCeojXpaEkgXVOfVO4SV5rrA,"LOL, .....Suuuurre alex! ......wrong again!!","LOL, .....Suuuurre alex! ......wrong again!!",0,"2018-04-14 18:56:44","2018-04-14 18:56:44",0,null
13793,Ugxs4NnGMXEXeg8lhs54AaABAg,Gu0hT43f52Y,"NO White Supremacy",UCshDRkw5xnnjcLtOt8F9ang,"Trump said he was going to  Make America Great & Most People  believe him .  When WW3 Gets worse I Guarantee Donald isnt going to save you . 

Accept ☝Jesus Christ (Yeshua)  as your Savior TODAY B4 Its too Late . Nobody is  guaranteed tomorrow .","Trump said he was going to  Make America Great & Most People  believe him .  When WW3 Gets worse I Guarantee Donald isnt going to save you . 

Accept ☝Jesus Christ (Yeshua)  as your Savior TODAY B4 Its too Late . Nobody is  guaranteed tomorrow .",1,"2018-04-14 18:23:59","2018-04-14 18:23:59",0,null
13794,Ugz4LCKdtdngXU3IjeJ4AaABAg,Gu0hT43f52Y,"Tony B",UCtbcyznuHAK3DfLVgihtDQA,"I stopped FB....","I stopped FB....",0,"2018-04-14 17:22:57","2018-04-14 17:22:57",0,null
13795,UgwCG4Dw_weKnjvvCTF4AaABAg,Gu0hT43f52Y,"Anthony Lawrence",UC-vPVLd982vvFN1Cyn06YBg,"The stupid have never heard of the
WAR MACHINE","The stupid have never heard of the
WAR MACHINE",0,"2018-04-14 17:17:41","2018-04-14 17:17:41",0,null
13796,UgxZMl-4yk0Pf5dCCkV4AaABAg,Gu0hT43f52Y,"Kinn Lao",UCB_RraHBAdD3hWliYWI6GTA,"nothing just gay news.","nothing just gay news.",1,"2018-04-14 16:56:08","2018-04-14 16:56:08",0,null
13797,Ugw3TxaSQgl6-ITKUSp4AaABAg,Gu0hT43f52Y,"Sonny Vasquez",UCnilR0n-DJkMg8zI3AwdYbQ,"Alexs you are on thier side helping the establishment.with all your bulshit and your storytelling trump supporters your one of them you work for zoinist","Alexs you are on thier side helping the establishment.with all your bulshit and your storytelling trump supporters your one of them you work for zoinist",0,"2018-04-14 16:47:49","2018-04-14 16:47:49",0,null
13798,UgyZOQ0kpiQZkt0kPqJ4AaABAg,Gu0hT43f52Y,"Sonny Vasquez",UCnilR0n-DJkMg8zI3AwdYbQ,"They are not going to blow each other up with nuclear bombs they know thiers no winners they are fearmongers","They are not going to blow each other up with nuclear bombs they know thiers no winners they are fearmongers",0,"2018-04-14 16:43:39","2018-04-14 16:43:39",1,null
