id,comment_id,video_id,commenter_name,commenter_id,comment_displayed,comment_original,likes,published_date,updated_date,total_replies,replyto
12399,UgxvaTz7IIDC3sILEQV4AaABAg,HR302KSaIBo,"Jagdeshwar Prasad",UCsTe8ycQabyLZcafW0kshUQ,"Putin.what you do Ukraine will come back to hurt you , they at your back door ready to enter , go Ukraine., from South America","Putin.what you do Ukraine will come back to hurt you , they at your back door ready to enter , go Ukraine., from South America",0,"2018-04-16 10:57:52","2018-04-16 10:57:52",0,null
12400,UgwWXSHurTtfElE7AaN4AaABAg,HR302KSaIBo,ctguy591,UChLWm4duUzYtdzkwGEjbs0g,"Putin is great at attacking his small neighbors but is scared as hell of the USA NAVY And its arsenal ! Fuck you putin !","Putin is great at attacking his small neighbors but is scared as hell of the USA NAVY And its arsenal ! Fuck you putin !",0,"2018-04-15 23:57:16","2018-04-15 23:57:16",0,null
12401,Ugx_6BWINxVP0gF__uV4AaABAg,HR302KSaIBo,ctguy591,UChLWm4duUzYtdzkwGEjbs0g,"I love the deconfliction phone line , we call these primitive russians, put them on the spot, and they become confused as hell ! HAHAHAHAHAHA. LMFAOkinda like turning a shark over and watching it go to sleep !","I love the deconfliction phone line , we call these primitive russians, put them on the spot, and they become confused as hell ! HAHAHAHAHAHA. LMFAOkinda like turning a shark over and watching it go to sleep !",0,"2018-04-15 23:54:57","2018-04-15 23:54:57",0,null
12402,Ugw5RmfCv6XAlw2R6L94AaABAg,HR302KSaIBo,ctguy591,UChLWm4duUzYtdzkwGEjbs0g,"Weak russia would have been wiped out totally in Syria if they even tried to attack the USA , FRANCE , BRITIAN , , the asshlo putin knows that VERY WELL ! F.. Y.. putin","Weak russia would have been wiped out totally in Syria if they even tried to attack the USA , FRANCE , BRITIAN , , the asshlo putin knows that VERY WELL ! F.. Y.. putin",0,"2018-04-15 23:44:21","2018-04-15 23:44:21",0,null
12403,UgzyS8hOfg33fQtB9gd4AaABAg,HR302KSaIBo,"Steve Cousins",UCwgcTn1FALXF22zJnubi58w,"Comrade Trump I have the pee pee tapes. Be good comrade!","Comrade Trump I have the pee pee tapes. Be good comrade!",0,"2018-04-15 16:19:19","2018-04-15 16:19:19",0,null
12404,UgzOcUK5N0UOy-AUMpF4AaABAg,HR302KSaIBo,"Dead End",UCfWMlZud2mJN0o6Lu2SKsfA,"Russia Warns US but cant do nth haha...","Russia Warns US but cant do nth haha...",0,"2018-04-15 15:53:17","2018-04-15 15:53:17",0,null
12405,UgwdN0Y42aoljmyF6Bh4AaABAg,HR302KSaIBo,"Johnny Buck",UCU2ilD0pkTYunQ59CP6Vy1Q,"Russia knows any attack on USA will get there country destroyed","Russia knows any attack on USA will get there country destroyed",0,"2018-04-15 13:07:01","2018-04-15 13:07:01",0,null
12406,UgyrWseagViK5HyaQnx4AaABAg,HR302KSaIBo,"tommeasor Drifter",UCARQChUeoGZuLZtjDG3KsBg,"Its all about the petrodollar and Russia and China creating their own payment for oil. America as been the guardian for the world currency for decades now and been spending more than it can afford and now relies on the petrodollar to survive.","Its all about the petrodollar and Russia and China creating their own payment for oil. America as been the guardian for the world currency for decades now and been spending more than it can afford and now relies on the petrodollar to survive.",0,"2018-04-15 12:33:47","2018-04-15 12:33:47",0,null
12407,UgzSq32z9uNJX_jw-Pd4AaABAg,HR302KSaIBo,"William Smiley",UCYyv_4uvIuktADREsr7wiuQ,"The facts are we gave the russians a heads up before airstrikes because we didnt want to escalate this to the point of no return! The chemical attacks were done by the ppl that want war in syria! Its just too ironic that trump says 2 days before the chem attacks that hes going to pull US forces from syria. Russia cant handle a conventional war with the US!!","The facts are we gave the russians a heads up before airstrikes because we didnt want to escalate this to the point of no return! The chemical attacks were done by the ppl that want war in syria! Its just too ironic that trump says 2 days before the chem attacks that hes going to pull US forces from syria. Russia cant handle a conventional war with the US!!",0,"2018-04-15 06:14:31","2018-04-15 06:14:31",0,null
12408,UgwB5EPE9IgJjAZsECV4AaABAg,HR302KSaIBo,"Brad Bower",UCvGMz019BajsT1tN9f9x2qA,"The Russians are all talk and zero action.....Krushev removed the misses out of Cuba so dont pay attention to their tough talk.  Kennedy said it and they believed him, good for them.","The Russians are all talk and zero action.....Krushev removed the misses out of Cuba so dont pay attention to their tough talk.  Kennedy said it and they believed him, good for them.",0,"2018-04-15 05:56:07","2018-04-15 05:56:07",0,null
