id,comment_id,video_id,commenter_name,commenter_id,comment_displayed,comment_original,likes,published_date,updated_date,total_replies,replyto
1524,UgxVjib-7GXo5mEZMt54AaABAg,IO3X2nyfZhs,"dave dimartino",UCZHbiX32a15N9Utr58dBe6w,"TERM LIMITS","TERM LIMITS",0,"2018-04-19 17:22:35","2018-04-19 17:22:35",0,null
1525,UgyfV9FmmUa4raS3Col4AaABAg,IO3X2nyfZhs,"He Elijah",UCdjcmopw-98hNqRD9kvOW6Q,"Democracy is that a demon religion","Democracy is that a demon religion",0,"2018-04-19 12:55:44","2018-04-19 12:55:44",0,null
1526,UgyE99Jhaq9HJtahnGN4AaABAg,IO3X2nyfZhs,"Michael Pearce",UCquiq5uSJvuWsVsDHHbuBuw,"We the People have a seditious and Zio-Communist Democrat party that is in open rebellion of our democratically elected president. The seditious Democrate party is a Communist party. It is comprised of a multitude of perverted special interest groups,  Zio-Communist front groups and Anti-White Anglo Saxon Protestant Christian Hate Groups and they are all under the umbrella of the seditious and zio-communist Democrat party. ANTIFA, BAMN and BLM are zio-communist Front Groups and Anti-White Anglo Saxon Protestant Christian Hate Groups. They are organized by Marxist jews and funded by their Zionist Financiers to undermine our Constitution to overthrow our Republic..They are using the same Marxist tactics of intimidation, violence and murder that they used in Russia in 1917 and in Post WW-1 Germany 1919-1920s. The blood of our American brothers and sisters that were targeted for slaughter in those churches in Tennessee, Texas and the Las Vegas Massacre are on all of their goddamn hands. We the People have a few massacres to avenge and will not be pacified less their blood. We the People will be killing ANTIFA, BAMN and BLM in our streets before the next election. Now we are going to return their race war and genocide back to them with extreme and Brutal violence. I cant wait to kill those seditious zio-communist motherfuckers. We are going to hunt down and kill their Marxist jew leadership and their Zionist financiers in the most butal ways. We the People are going to kill them for their sedition and murder. By the Precious blood of Jesus Christ I pray to lead the way Amen..","We the People have a seditious and Zio-Communist Democrat party that is in open rebellion of our democratically elected president. The seditious Democrate party is a Communist party. It is comprised of a multitude of perverted special interest groups,  Zio-Communist front groups and Anti-White Anglo Saxon Protestant Christian Hate Groups and they are all under the umbrella of the seditious and zio-communist Democrat party. ANTIFA, BAMN and BLM are zio-communist Front Groups and Anti-White Anglo Saxon Protestant Christian Hate Groups. They are organized by Marxist jews and funded by their Zionist Financiers to undermine our Constitution to overthrow our Republic..They are using the same Marxist tactics of intimidation, violence and murder that they used in Russia in 1917 and in Post WW-1 Germany 1919-1920s. The blood of our American brothers and sisters that were targeted for slaughter in those churches in Tennessee, Texas and the Las Vegas Massacre are on all of their goddamn hands. We the People have a few massacres to avenge and will not be pacified less their blood. We the People will be killing ANTIFA, BAMN and BLM in our streets before the next election. Now we are going to return their race war and genocide back to them with extreme and Brutal violence. I cant wait to kill those seditious zio-communist motherfuckers. We are going to hunt down and kill their Marxist jew leadership and their Zionist financiers in the most butal ways. We the People are going to kill them for their sedition and murder. By the Precious blood of Jesus Christ I pray to lead the way Amen..",0,"2018-04-19 12:43:32","2018-04-19 12:43:32",0,null
1527,Ugyx8Mm4fUqdzTKXv0t4AaABAg,IO3X2nyfZhs,"Dave Saenz",UCAc2ipbBgaDVs7GvxgVl8FQ,"I thought we supported a free open market of trade and capitalism where everyone can choose what to buy and sell and what currency to use. The dollar is not included, but all other currencies are according to military complex who owns the government.","I thought we supported a free open market of trade and capitalism where everyone can choose what to buy and sell and what currency to use. The dollar is not included, but all other currencies are according to military complex who owns the government.",0,"2018-04-19 12:32:21","2018-04-19 12:32:21",0,null
1528,UgxYR-JzclEkORmAv8p4AaABAg,IO3X2nyfZhs,"Dave Saenz",UCAc2ipbBgaDVs7GvxgVl8FQ,"This guy is a complete liar.","This guy is a complete liar.",0,"2018-04-19 12:29:32","2018-04-19 12:29:32",0,null
1529,Ugwtz11n-z_bmehuubR4AaABAg,IO3X2nyfZhs,"Sience or Something",UCtrszpF6qje69GJM_Y2IZsw,"so USA fukked up and all others are the devil again ! GREAT !!","so USA fukked up and all others are the devil again ! GREAT !!",0,"2018-04-19 12:27:53","2018-04-19 12:27:53",0,null
1530,UgxX_Z15a9oRTC10Yyl4AaABAg,IO3X2nyfZhs,"Matthew White",UC5PUT7vZ7BkwLPfFLzA6QeA,"Yeah right us has japan japan took China over we fought them out we have the guns and ammo we will rock your town America. Been in power","Yeah right us has japan japan took China over we fought them out we have the guns and ammo we will rock your town America. Been in power",0,"2018-04-18 03:56:53","2018-04-18 03:56:53",0,null
1531,UgzVJhpYJHli3lhivO14AaABAg,IO3X2nyfZhs,"Maryann Davey",UCmrYhdUiKU-VEdPML75nL7A,"All o know is that their agenda is to kill off the aboriginal race of America!","All o know is that their agenda is to kill off the aboriginal race of America!",0,"2018-04-18 00:36:28","2018-04-18 00:36:28",0,null
1532,Ugx2rI_iQc0cxUq_Xwp4AaABAg,IO3X2nyfZhs,"Aether Coin",UCnEeS_i992tJ9rYTC9lWo-A,"All you have to do is buy Bitcoin.","All you have to do is buy Bitcoin.",0,"2018-04-17 21:39:15","2018-04-17 21:39:15",0,null
1533,UgyIfGjqyLs0GamoEIV4AaABAg,IO3X2nyfZhs,"Soul Therapy",UCm9jpe6aXI9wgCtLIXxE3QA,"The lord, Father of Jesus, that created us the  earth. and the kingdom of heaven. will make the world great again.","The lord, Father of Jesus, that created us the  earth. and the kingdom of heaven. will make the world great again.",0,"2018-04-17 20:38:21","2018-04-17 20:38:47",0,null
