id,comment_id,video_id,commenter_name,commenter_id,comment_displayed,comment_original,likes,published_date,updated_date,total_replies,replyto
12014,UgxJhJBkdSMJxHY9vTR4AaABAg,LHUB2IMGc9U,"Indrek Pringi",UCI_3njpJX0K4B_WvqQaanRA,"FUCK YOU JEW MONEY WHORES
FUCK ALL JEW WAR MONGERS
YOU ARE A JEW STINKING WAR MONGER
YOU ARE A FEAR MONGER
FUCK ALL YOU STINKING JEWS
YOU NEED TO BE KILLED","FUCK YOU JEW MONEY WHORES
FUCK ALL JEW WAR MONGERS
YOU ARE A JEW STINKING WAR MONGER
YOU ARE A FEAR MONGER
FUCK ALL YOU STINKING JEWS
YOU NEED TO BE KILLED",0,"2018-04-15 18:00:48","2018-04-15 18:00:48",0,null
12015,UgzNvM0V0Js1jzxJk_B4AaABAg,LHUB2IMGc9U,3dgun,UCTG19in3GOqRZLkSxSr8d-g,"Good News, Super Troopers 2 is coming out on 4:20.","Good News, Super Troopers 2 is coming out on 4:20.",0,"2018-04-15 17:16:23","2018-04-15 17:16:23",0,null
12016,Ugy6C9qyUiDZbIW1Myx4AaABAg,LHUB2IMGc9U,"joann robinson",UCli8DLMvoxuCs8-HDK9Lhrw,"TRUMP IS  BREAKING TO GLOBALISTS","TRUMP IS  BREAKING TO GLOBALISTS",0,"2018-04-15 17:14:15","2018-04-15 17:14:15",0,null
12017,Ugy26AjhTN8u-IX2KK54AaABAg,LHUB2IMGc9U,"real eyes realize real shite",UCMu0RVhXLLJykfH65jn1_2Q,"Thats just a normal day in Rio","Thats just a normal day in Rio",0,"2018-04-15 15:38:40","2018-04-15 15:38:40",0,null
12018,UgwfH1a7LQGqO49d7ZV4AaABAg,LHUB2IMGc9U,"William Pilston",UCfC4bYDRWI_WG5nhXA9oUFg,"The money always leads back to Israeli corruption and evil","The money always leads back to Israeli corruption and evil",0,"2018-04-15 15:00:37","2018-04-15 15:00:37",0,null
12019,Ugx-PEmTgkktfjERhIp4AaABAg,LHUB2IMGc9U,777anibal,UCU8Fj9Ni1G-FTkNb9TQXO1A,"Hahaha this moron is a joker","Hahaha this moron is a joker",0,"2018-04-15 14:54:50","2018-04-15 14:54:50",0,null
12020,UgzU85wFi5DVamOQPMR4AaABAg,LHUB2IMGc9U,"Rod Gillen",UCpCFO9TYlyVIYgTZH_naBkw,"president Trump is doing the right thing.he has balls not like that nigger who tried to weaken America.","president Trump is doing the right thing.he has balls not like that nigger who tried to weaken America.",0,"2018-04-15 14:43:26","2018-04-15 14:43:26",0,null
12021,UgzH1ApAGRG3vwhki_l4AaABAg,LHUB2IMGc9U,"Anacleto Perez",UCaPsGxVFfop0IBDk4YwpOMw,"Americans forgot about Christ, now quit your whining.","Americans forgot about Christ, now quit your whining.",0,"2018-04-15 14:19:25","2018-04-15 14:19:25",0,null
12022,Ugx5BKb6irxKi0qVX7d4AaABAg,LHUB2IMGc9U,"Pavel Bucek",UCcJvRmjXK6suuhNH1Zy8ISA,"Your news sucks","Your news sucks",0,"2018-04-15 12:51:27","2018-04-15 12:51:27",0,null
12023,Ugy8UTBDtJXASu00WEB4AaABAg,LHUB2IMGc9U,"Ray Ray",UCkrUePOpXKS-Z5BoCDMIiyQ,"Are you just going to play others peoples work and pass it for yourself and get ad revenue????? Unsubscribed!","Are you just going to play others peoples work and pass it for yourself and get ad revenue????? Unsubscribed!",0,"2018-04-15 12:51:02","2018-04-15 12:51:02",0,null
12024,UgwEnviCtgn03IRhfr94AaABAg,LHUB2IMGc9U,"Peter Rkrs",UCvbUALuTw0432JKaerltKoA,"Its really happening, isnt it ? I was wondering why it was so long quiet","Its really happening, isnt it ? I was wondering why it was so long quiet",2,"2018-04-15 12:50:20","2018-04-15 12:50:20",0,null
12025,UgxGIIGH1FVuAk4rvNN4AaABAg,LHUB2IMGc9U,"Alexander Afxendiou",UC-zh5tY8NHNAWTiDbc6n3XA,"You know deep inside that you cannot succeed you cannot resist the Divine plan all soldiers all police all presidents all governments all who are not in there last incarnation all who are against the Divine plan in any way will be exterminated and theres nothing you can do to stop it","You know deep inside that you cannot succeed you cannot resist the Divine plan all soldiers all police all presidents all governments all who are not in there last incarnation all who are against the Divine plan in any way will be exterminated and theres nothing you can do to stop it",0,"2018-04-15 12:38:29","2018-04-15 12:38:29",0,null
12026,UgwHsbegyWUuG5xbNat4AaABAg,LHUB2IMGc9U,"Wayne Cobalt",UCnvrrd7Emz-nNqLgPPzmtPA,"you showed us nothing","you showed us nothing",0,"2018-04-15 12:36:47","2018-04-15 12:36:47",0,null
12027,Ugw-l2TMew5gpXhnkA54AaABAg,LHUB2IMGc9U,"Tropolini Victor",UCN_shhYtYEGMEsYLcllsxHw,"Rusian can do only one good thing . Suck usa amerikan cock","Rusian can do only one good thing . Suck usa amerikan cock",0,"2018-04-15 11:24:26","2018-04-15 11:24:26",0,null
12028,Ugzrfc-ICkuQ5MwIoEB4AaABAg,LHUB2IMGc9U,"Shalom Cruz",UCa9p_-V7QHOybDgJU9Kt0rA,"Those  fanatics morons.That believe  that USA Government is not  in control under the Zionists power I recommend that read  more and stop watching TV and log in on Facebook.I cant believe that after 911 conspiracy people still trusting Rep and Dem  establishment.They dont care about nobody they care about money Wake up dont be moronic.","Those  fanatics morons.That believe  that USA Government is not  in control under the Zionists power I recommend that read  more and stop watching TV and log in on Facebook.I cant believe that after 911 conspiracy people still trusting Rep and Dem  establishment.They dont care about nobody they care about money Wake up dont be moronic.",0,"2018-04-15 10:33:48","2018-04-15 10:33:48",0,null
12029,Ugyk7RY2umsr8vREL094AaABAg,LHUB2IMGc9U,"Scott H",UCluBA-LVLZ8nq1ZAeK6N6xg,"7 of 105 missiles made it to the ground","7 of 105 missiles made it to the ground",0,"2018-04-15 10:21:53","2018-04-15 10:21:53",0,null
