id,comment_id,video_id,commenter_name,commenter_id,comment_displayed,comment_original,likes,published_date,updated_date,total_replies,replyto
10252,Ugz5YlOQYjWoQfumKbl4AaABAg,LK7ZjhEO040,"Michael Rostine",UCCtb8gTpqNaksOIMrkvLTPw,"I hate to say it the monsters are in our country and starting to think I voted for a few of them.","I hate to say it the monsters are in our country and starting to think I voted for a few of them.",0,"2018-04-19 00:59:46","2018-04-19 00:59:46",0,null
10253,UgyQJ2zDrQghkNd3rZ14AaABAg,LK7ZjhEO040,"Michael Rostine",UCCtb8gTpqNaksOIMrkvLTPw,"For safety sake our fear filled  government would like to disarm every American citizen in this country for safety sake????
For some strange reason our fearless government is not afraid to start a nuclear war. Why?","For safety sake our fear filled  government would like to disarm every American citizen in this country for safety sake????
For some strange reason our fearless government is not afraid to start a nuclear war. Why?",0,"2018-04-19 00:55:45","2018-04-19 00:55:45",0,null
10254,UgyMZcJZEn9Kalp0dyZ4AaABAg,LK7ZjhEO040,"Michael Rostine",UCCtb8gTpqNaksOIMrkvLTPw,"What was the reason the animal had for using chemical weapons?
Is the Whole Worlds safety in jeopardy because of our haphazard rush to judgement on the Assad regime.","What was the reason the animal had for using chemical weapons?
Is the Whole Worlds safety in jeopardy because of our haphazard rush to judgement on the Assad regime.",0,"2018-04-19 00:29:06","2018-04-19 00:29:06",0,null
10255,UgxydYLvmgdrjEI3oul4AaABAg,LK7ZjhEO040,"yasir malik",UCmxdII4hprZPILmhYmfWSrg,"We don’t not want any war with anyone","We don’t not want any war with anyone",0,"2018-04-17 08:48:20","2018-04-17 08:48:20",0,null
10256,UgyxdOZTfW16Zj427kh4AaABAg,LK7ZjhEO040,"yasir malik",UCmxdII4hprZPILmhYmfWSrg,"No war please get trump out of the office","No war please get trump out of the office",0,"2018-04-17 08:47:16","2018-04-17 08:47:16",0,null
10257,UgyNWsPNC9DCDnjXBlZ4AaABAg,LK7ZjhEO040,"Be Gone Loserfucker You Prove To Not Know Me",UCqezEiD2Q5-S6ZeXfDz5pdw,"They are fear mongering.","They are fear mongering.",0,"2018-04-16 10:57:29","2018-04-16 10:57:29",0,null
10258,UgzaHJWJa5SPPZQl7lt4AaABAg,LK7ZjhEO040,"balam thapa",UCLz3Euh1_PWVqhh-UOlEG4g,"American dog why attract syria ?","American dog why attract syria ?",0,"2018-04-16 07:05:04","2018-04-16 07:05:04",0,null
10259,Ugzr7btMbWJnjo2Dn3F4AaABAg,LK7ZjhEO040,"Nij Jin",UCv6EvOSSIGWuxwnDCUrRGPg,"The US is broke their military budget alone is in deficit to the tune of a trillion plus their economy is about to collapse the Petro is worthless so theyre trying to invoke Russia into a war Russia wants no part of. The US is so desperate to stop the Chinese yuan from taking over as the global currency, therefore their only hope to try and save their embarrassing butts is to start WWIII.","The US is broke their military budget alone is in deficit to the tune of a trillion plus their economy is about to collapse the Petro is worthless so theyre trying to invoke Russia into a war Russia wants no part of. The US is so desperate to stop the Chinese yuan from taking over as the global currency, therefore their only hope to try and save their embarrassing butts is to start WWIII.",0,"2018-04-16 02:00:59","2018-04-16 02:00:59",0,null
10260,UgzgVEsoWTYVsQXKwL54AaABAg,LK7ZjhEO040,"Segundo Medina",UCgWeXdL52qUOr_yOsWnecAw,"Thats The Play of two superpowers to raise their money.. The dollar raise as double.. Fucking bulls hit","Thats The Play of two superpowers to raise their money.. The dollar raise as double.. Fucking bulls hit",0,"2018-04-15 23:20:23","2018-04-15 23:20:23",0,null
10261,UgybYFoO6gVLa0KhK094AaABAg,LK7ZjhEO040,"Jonathan Gutierrez",UCxBaRCIy_I5diKon76BGBsg,"Is clear ww3 started us with siria the other countrys i side backing up like rusia and iran ?? and chine on the other side france and uk any little mistake can take to a nuclear attack.red light is on no mistakes cant be take.","Is clear ww3 started us with siria the other countrys i side backing up like rusia and iran ?? and chine on the other side france and uk any little mistake can take to a nuclear attack.red light is on no mistakes cant be take.",0,"2018-04-15 23:09:37","2018-04-15 23:09:37",0,null
