id,comment_id,video_id,commenter_name,commenter_id,comment_displayed,comment_original,likes,published_date,updated_date,total_replies,replyto
3120,UgxWdFBCzT4-HJ1kPCl4AaABAg,RG7ckR8N-1w,"Sei Kills",UC5LzZZJN_RX50iOXY_-Sk_Q,"Destroy Russia? usa","Destroy Russia? usa",0,"2018-04-17 10:17:36","2018-04-17 10:17:36",0,null
3121,UgyeH4OysQBt-3qACrB4AaABAg,RG7ckR8N-1w,"Ezio Lorenzo",UC47KV4KE-WgsV3-jX3B8DeA,"The Bear vs The Eagle.....
Just like the Cold War???

Union of Soviet Socialist Republic Vs United States of America

The history will repeat itself. 


Now, Who would win?","The Bear vs The Eagle.....
Just like the Cold War???

Union of Soviet Socialist Republic Vs United States of America

The history will repeat itself. 


Now, Who would win?",0,"2018-04-17 00:17:21","2018-04-17 00:23:51",0,null
3122,UgwKhnvJd0u6vyELy014AaABAg,RG7ckR8N-1w,"hani karam",UCuhfr7JhIXgFh_3r7sB8FTA,"Horse shit go make stocked up Nuke shelters","Horse shit go make stocked up Nuke shelters",0,"2018-04-16 20:44:36","2018-04-16 20:44:36",0,null
3123,Ugy6c9L5PPRL6ItMESN4AaABAg,RG7ckR8N-1w,"hani karam",UCuhfr7JhIXgFh_3r7sB8FTA,"this military gathering happened few years ago it did not happen now this is why Putin invited for meeting with the Nordic nations . no worries","this military gathering happened few years ago it did not happen now this is why Putin invited for meeting with the Nordic nations . no worries",0,"2018-04-16 20:43:37","2018-04-16 20:43:37",0,null
3124,UgxIAEH-_TrHUn23mFp4AaABAg,RG7ckR8N-1w,"Mesele Aklilu",UCb1TrkizQS4lSUm0O6DDvKg,"that is not real war it seems fake or the way to know others power and efficiency.","that is not real war it seems fake or the way to know others power and efficiency.",0,"2018-04-16 19:36:48","2018-04-16 19:36:48",0,null
3125,UgyVVkJ4gQctgvXUgNF4AaABAg,RG7ckR8N-1w,"Bare Truth",UCwg1ceaPIGQAKnAOkBUsZ2w,"Oh just press the button you wimps, im tired of hearing crap just do it","Oh just press the button you wimps, im tired of hearing crap just do it",0,"2018-04-16 18:33:06","2018-04-16 18:33:06",0,null
3126,Ugy9-Owm8H5zNf6lgTp4AaABAg,RG7ckR8N-1w,"Morgenne Deathwalker",UCDjqYMwDyfKx-Wia93Oa5hQ,"Fuck off American and UK politicians you do not speak for your peoples, you want war not us so you go to war we will sit at home and laugh as u get killed.... stupid politicians !","Fuck off American and UK politicians you do not speak for your peoples, you want war not us so you go to war we will sit at home and laugh as u get killed.... stupid politicians !",0,"2018-04-16 16:59:59","2018-04-16 16:59:59",0,null
3127,UgwADQ_XbqF_cxxGeI94AaABAg,RG7ckR8N-1w,"Simon Machin",UCwiGBB3c-K7IwrsekJm4EZA,"Rick Moraniss mini me at 0:44 doesnt want a Nuclear War, wtf.","Rick Moraniss mini me at 0:44 doesnt want a Nuclear War, wtf.",0,"2018-04-16 16:41:01","2018-04-16 16:41:01",0,null
3128,UgwzhmapKIn-kMmLnvB4AaABAg,RG7ckR8N-1w,"Stud Baird",UCg_tTYeMRLBvBbACDmINYRg,"basically force other countries to buy wepons and arms from NATO or UN ISIS Cia all funded by political agenda.  have a gang big enough you can boss the world.   dont join the party become there victims","basically force other countries to buy wepons and arms from NATO or UN ISIS Cia all funded by political agenda.  have a gang big enough you can boss the world.   dont join the party become there victims",0,"2018-04-16 16:34:34","2018-04-16 16:34:34",0,null
3129,UgxRHyIvAswRWs6Hl5l4AaABAg,RG7ckR8N-1w,"florida bass edition",UCzvB7sb8MwWiVUefw_I8AuA,"Usa wants all control of the black gold. Thats it.","Usa wants all control of the black gold. Thats it.",0,"2018-04-16 16:31:53","2018-04-16 16:31:53",0,null
3130,UgyxQHsEyXpoNmHf8054AaABAg,RG7ckR8N-1w,"Kimso Kri",UCphBFBQnnsLZelwKFqsxIyQ,"I want see american die....
     And lose their superpower reputation...
    It will happen obviously,if war happen....","I want see american die....
     And lose their superpower reputation...
    It will happen obviously,if war happen....",0,"2018-04-16 16:13:33","2018-04-16 16:13:33",0,null
3131,UgxAvA4jdCofciyp-hp4AaABAg,RG7ckR8N-1w,"Ralph Erizonie",UCVL0vG0DMGU2MBMtEYuy0-g,"No ones gonna go to war they’ll loose to many spaces if they go to war and loose to much money so sorry folks but no world war 4 just yet","No ones gonna go to war they’ll loose to many spaces if they go to war and loose to much money so sorry folks but no world war 4 just yet",0,"2018-04-16 16:13:14","2018-04-16 16:13:14",0,null
3132,Ugzi4hzDwpX1WPLI39R4AaABAg,RG7ckR8N-1w,"James McConnell",UCGqFKh7aEwzxjmflv-0SRcQ,"Rejoice, Jesus Christ our Lord is returning soon. The United States of Babylon will fall and Christ Jesus will return. As a Christian,  I was not allowed to participate in Babylons rising. I was made a slave for the evil who practice Nazism and Satanism to laugh in evil despair against me as a Christian. Now set free, I long for Jesus Christ to return. Amen! Soon Jesus Christ will return for those who know him as King of Kings and the Lord of Lords. Read the book of Revelation and Matthew 24 than John 3:16 and know the time is short for his return. Amen! The new heaven and new earth await for those who believe Jesus Christ is Lord.","Rejoice, Jesus Christ our Lord is returning soon. The United States of Babylon will fall and Christ Jesus will return. As a Christian,  I was not allowed to participate in Babylons rising. I was made a slave for the evil who practice Nazism and Satanism to laugh in evil despair against me as a Christian. Now set free, I long for Jesus Christ to return. Amen! Soon Jesus Christ will return for those who know him as King of Kings and the Lord of Lords. Read the book of Revelation and Matthew 24 than John 3:16 and know the time is short for his return. Amen! The new heaven and new earth await for those who believe Jesus Christ is Lord.",1,"2018-04-16 16:09:28","2018-04-16 16:09:28",0,null
3133,UgyTmJzi5b6Fckn3khJ4AaABAg,RG7ckR8N-1w,"Kimso Kri",UCphBFBQnnsLZelwKFqsxIyQ,"Why dont u put subtitle,
     If u want all the to see uR videOs....","Why dont u put subtitle,
     If u want all the to see uR videOs....",0,"2018-04-16 16:08:39","2018-04-16 16:08:39",0,null
3134,UgxGqr8VsmhxJQQb-1R4AaABAg,RG7ckR8N-1w,"Vasia Neokleous",UCZRJbWWT0oZ7TMsDyLOO5Sw,"Russia must go back to Cuba and have there nuclear weapons. Its time to respond.","Russia must go back to Cuba and have there nuclear weapons. Its time to respond.",0,"2018-04-16 16:05:20","2018-04-16 16:05:20",0,null
