id,comment_id,video_id,commenter_name,commenter_id,comment_displayed,comment_original,likes,published_date,updated_date,total_replies,replyto
293,Ugyxa-SW_Zm9JlTTKlZ4AaABAg,SmfhwXEBejA,"Harley Man",UCg46OnO9R1l9g7RVyGzU57g,"Yes and you watch....for every person they bring down....there will be a false flag fake shooting like Parkland....Vegas.....to get people to look the other way.HRC....Obama....the Bush clan....YOUR GOING DOWN","Yes and you watch....for every person they bring down....there will be a false flag fake shooting like Parkland....Vegas.....to get people to look the other way.HRC....Obama....the Bush clan....YOUR GOING DOWN",0,"2018-04-20 01:06:30","2018-04-20 01:06:30",0,null
294,UgzSLq7BYViUvcvq34F4AaABAg,SmfhwXEBejA,"Julie Cain",UCvaPdF9It24gbDr9qcZUVqQ,"Remove the roaring noise from the tape...I cannot hear the voices.  It rattles my brain.  I wont listen to this because of it.","Remove the roaring noise from the tape...I cannot hear the voices.  It rattles my brain.  I wont listen to this because of it.",0,"2018-04-20 00:45:07","2018-04-20 00:45:07",0,null
295,UgwIT6kJjH3WMbwwOsR4AaABAg,SmfhwXEBejA,"Rodney Burton",UCqcLEK5ax4TUEAAxDj2TxlA,"Jenine shut up you sound retarded","Jenine shut up you sound retarded",0,"2018-04-20 00:44:17","2018-04-20 00:44:17",0,null
296,UgyZxbyNJqbAUgcvPeJ4AaABAg,SmfhwXEBejA,"Richard Martin",UCjBumOXdULZA6YeRqWh43iA,"You conspiracy ass holes need to get a life. There is no deep state just dumb MORONS with no clue.
Fox news is a traitor to our country  and the people who watch it are as stupid as can be. Get a life loosers.
Trump is a traitor to our country and a the Orange Clown pussy","You conspiracy ass holes need to get a life. There is no deep state just dumb MORONS with no clue.
Fox news is a traitor to our country  and the people who watch it are as stupid as can be. Get a life loosers.
Trump is a traitor to our country and a the Orange Clown pussy",0,"2018-04-19 23:54:29","2018-04-19 23:54:29",0,null
297,UgyDQT1MhXSM4OAyCNZ4AaABAg,SmfhwXEBejA,"therese gilbert",UCoa_QMbvj5bDPYa8NpSQzQA,"They need to expose everyone in senior executive service SES because it explains pay 4play and overpaid 250 thou 4 life taxpayers duped by shadow government","They need to expose everyone in senior executive service SES because it explains pay 4play and overpaid 250 thou 4 life taxpayers duped by shadow government",0,"2018-04-19 21:39:31","2018-04-19 21:39:31",0,null
298,UgxKFj48ykY9nInQDMt4AaABAg,SmfhwXEBejA,"Eric Enloe",UCkpP_saGX8HCUByRatmzl6Q,"Wish theyd just shoot them all for treason!!!!","Wish theyd just shoot them all for treason!!!!",0,"2018-04-19 21:25:28","2018-04-19 21:25:28",0,null
299,Ugz98NSZ5BNV2NN2mKl4AaABAg,SmfhwXEBejA,"Disasters Matter",UCm_Ric2W-4riCGpmaZREB5Q,"FOLLOW THE MONEY   CLICK BAIT Surveillance Tracking.
YouTube BOT TRACKING CLICK BAIT So many Liberal Ads and the subject is running so fast you cant understand it!
They are Scared of US KNOWING WHAT THEY DO TO US <>BUT THEY CONTINUE Pathetic Oxymorons","FOLLOW THE MONEY   CLICK BAIT Surveillance Tracking.
YouTube BOT TRACKING CLICK BAIT So many Liberal Ads and the subject is running so fast you cant understand it!
They are Scared of US KNOWING WHAT THEY DO TO US <>BUT THEY CONTINUE Pathetic Oxymorons",0,"2018-04-19 21:05:39","2018-04-19 21:05:39",0,null
300,Ugwx2AKJa_lrsCG1wY94AaABAg,SmfhwXEBejA,"Disasters Matter",UCm_Ric2W-4riCGpmaZREB5Q,"This is Very CRITICAL INFORMATION EVERYONE needs to to BE AWARE of the CRIMES They promote....
Elite Advertising and Data Recovery is far more important than our lives this Video is PROOF THEY ARE WATCHING!
If we are not being watched > WHY SO MANY ADS? They are marking you for watching this. The TRUTH kills them!","This is Very CRITICAL INFORMATION EVERYONE needs to to BE AWARE of the CRIMES They promote....
Elite Advertising and Data Recovery is far more important than our lives this Video is PROOF THEY ARE WATCHING!
If we are not being watched > WHY SO MANY ADS? They are marking you for watching this. The TRUTH kills them!",0,"2018-04-19 21:03:17","2018-04-19 21:03:17",0,null
301,Ugzq4dapnBTHoq-CAjF4AaABAg,SmfhwXEBejA,"angel herrera",UCQZFIooqc5uOr-rRPpjvmZQ,"wellcome to america hell////and blame others countrys to invade them killing humans","wellcome to america hell////and blame others countrys to invade them killing humans",0,"2018-04-19 17:30:50","2018-04-19 17:30:50",0,null
302,UgwS15B9H-cOPm0M6IZ4AaABAg,SmfhwXEBejA,"Don Spartan",UC-CgRjfIjjp8Zy2lk4KQTYw,"the dark web is the elites downfall. all the truth is there.  how deep down the rabbit hole do you want to go ??? we all have a part to play.","the dark web is the elites downfall. all the truth is there.  how deep down the rabbit hole do you want to go ??? we all have a part to play.",0,"2018-04-19 17:06:21","2018-04-19 17:06:21",0,null
