id,comment_id,video_id,commenter_name,commenter_id,comment_displayed,comment_original,likes,published_date,updated_date,total_replies,replyto
3747,UgxQM1pCaVuBL58QbU54AaABAg,g1a2I3qigFY,"Mika Cotty",UCy-WuAalXgUaOroU9Gd_OEg,9-11,9-11,0,"2018-04-17 08:52:22","2018-04-17 08:52:22",0,null
3748,UgzmaYHVKq-fCkeviv14AaABAg,g1a2I3qigFY,"Michael Hood",UChkkVEak_Tqz59cyIzOROJg,"I would impeach them both that will fix it its simple","I would impeach them both that will fix it its simple",0,"2018-04-16 23:42:05","2018-04-16 23:42:05",0,null
3749,Ugwa19FLjnyI_xZ81WB4AaABAg,g1a2I3qigFY,"Marko Grgich",UCgVi3eXLNbTNO1CM1IsWC3w,"Youre gonna be the sacrificial lamb","Youre gonna be the sacrificial lamb",0,"2018-04-16 10:02:59","2018-04-16 10:02:59",0,null
3750,UgxclQ0hJ2bYho3WoAF4AaABAg,g1a2I3qigFY,"F.catfracasso fracasso",UCrQolVpcaV2aPNqUX41PpLg,"The commander and cheif  president Trump does not need to consult with congress or anyone presidential authorization to make such orders second you clowns he only has to go to congress if he wants to an act war. The president can put boots on the ground in a foreign country or any where he deems fit for 120 days todays politicians are a bunch babys the way they behave like this im glad TRUMP is doing things to criminals from using poison gas. I cant wait for the wall  TRUMP is building we need a stronger borders.#TRUMPWALL","The commander and cheif  president Trump does not need to consult with congress or anyone presidential authorization to make such orders second you clowns he only has to go to congress if he wants to an act war. The president can put boots on the ground in a foreign country or any where he deems fit for 120 days todays politicians are a bunch babys the way they behave like this im glad TRUMP is doing things to criminals from using poison gas. I cant wait for the wall  TRUMP is building we need a stronger borders.#TRUMPWALL",0,"2018-04-16 04:56:55","2018-04-16 04:56:55",0,null
3751,UgwtBwQ01dfz1JcaQvt4AaABAg,g1a2I3qigFY,"Gerry Mironchuck",UCV-e3O5xfLZM-y-g1XSTvnw,"This is to keep the traitor leakers out.","This is to keep the traitor leakers out.",0,"2018-04-16 02:43:03","2018-04-16 02:43:03",0,null
3752,UgzbBzE3mus8t0KjDH54AaABAg,g1a2I3qigFY,"Eli Levi",UCzuL9GIJZ0aKJJRLfUEy1oQ,"Because hes President, he doesnt have to if American people are behind him.","Because hes President, he doesnt have to if American people are behind him.",0,"2018-04-16 02:20:27","2018-04-16 02:20:27",0,null
3753,UgyDxNHgY8WD8JoDXe54AaABAg,g1a2I3qigFY,"Leo Ruocco",UCdsr5Pv9hrUUehMI-2vfu0g,"Really an act of weakness not an act of strength.","Really an act of weakness not an act of strength.",1,"2018-04-16 01:52:55","2018-04-16 01:52:55",0,null
3754,UgxSIy5XC8mIwzY8dMt4AaABAg,g1a2I3qigFY,"Leo Ruocco",UCdsr5Pv9hrUUehMI-2vfu0g,"RT THANK YOU FOR YOUR VOICE. NOT EVERYONE IS WILLING TO SWALLOW LIES FROM THERE GOVERNMENT.......... THE BOMBING WAS A CIRCUS SHOW. SHOW OF HOW DESPERATE AND DISHONEST OUR GOVERNMENT IS. MAYBE IN THAT WAY IT WAS A GOOD THING. THEY WASTED TENS OF MILLIONS OF DOLLARS IN BOMBS THEY HAD TARGET PRACTICE AND THEY SHOW THE WORLD HOW STRONG AND MIGHTY THEY ARE NOT.","RT THANK YOU FOR YOUR VOICE. NOT EVERYONE IS WILLING TO SWALLOW LIES FROM THERE GOVERNMENT.......... THE BOMBING WAS A CIRCUS SHOW. SHOW OF HOW DESPERATE AND DISHONEST OUR GOVERNMENT IS. MAYBE IN THAT WAY IT WAS A GOOD THING. THEY WASTED TENS OF MILLIONS OF DOLLARS IN BOMBS THEY HAD TARGET PRACTICE AND THEY SHOW THE WORLD HOW STRONG AND MIGHTY THEY ARE NOT.",0,"2018-04-16 01:52:32","2018-04-16 01:52:32",0,null
3755,UgxGePnI2r3oEmvRopZ4AaABAg,g1a2I3qigFY,"Leo Ruocco",UCdsr5Pv9hrUUehMI-2vfu0g,"They think theyve Bamboozled the American people well when next election day comes in November youre going to see some serious backlash. That will hopefully clip their wings from doing anything like this in the future they earned it.","They think theyve Bamboozled the American people well when next election day comes in November youre going to see some serious backlash. That will hopefully clip their wings from doing anything like this in the future they earned it.",0,"2018-04-16 01:45:22","2018-04-16 01:45:22",0,null
3756,UgwmYAarzILiGWtf4-R4AaABAg,g1a2I3qigFY,"Josette Vettel",UCT-RE8lyOiv7PGq-XBhikfw,"GNN THY WILL BE DONE+++President Donald Trump—Contact the President of the United States by filling out the online contact form or by calling the White House switchboard at 202-456-1414 or the comments line at 202-456-1111 during business hours. Members of the U.S. Congress. U.S. Senators—Get contact information for your Senators in the U.S. Senate.","GNN THY WILL BE DONE+++President Donald Trump—Contact the President of the United States by filling out the online contact form or by calling the White House switchboard at 202-456-1414 or the comments line at 202-456-1111 during business hours. Members of the U.S. Congress. U.S. Senators—Get contact information for your Senators in the U.S. Senate.",0,"2018-04-16 01:44:43","2018-04-16 01:44:43",0,null
