id,comment_id,video_id,commenter_name,commenter_id,comment_displayed,comment_original,likes,published_date,updated_date,total_replies,replyto
4001,UgziFLXadgr_nN6DBZx4AaABAg,g5joii7_wvs,"Teuta Queen of Illyria",UCNzDbeDNRBjSt6UEjx85AZg,"The bombed buildings were not deepstate nor were they empty. One was a medical research facility. https://www.cbsnews.com/news/syria-airstrikes-brazeh-complex-damascus-2018-04-14/","The bombed buildings were not deepstate nor were they empty. One was a medical research facility. https://www.cbsnews.com/news/syria-airstrikes-brazeh-complex-damascus-2018-04-14/",0,"2018-04-18 04:34:17","2018-04-18 04:34:39",0,null
4002,UgzWyrtLro-KK0e-FE94AaABAg,g5joii7_wvs,"Patty Sherwood",UCjTqjgykm_Yq8FAGpiskriw,"Who is in control?","Who is in control?",0,"2018-04-17 02:23:55","2018-04-17 02:23:55",0,null
4003,UgwpKyX3_mk1gGVO9mR4AaABAg,g5joii7_wvs,"Michael Campbell",UC39FqKq7YZKXADd2gJCLAKw,"Jeez mate I hope your right. I was fully behind DJT but this action has scared the shit out of me!","Jeez mate I hope your right. I was fully behind DJT but this action has scared the shit out of me!",0,"2018-04-16 03:31:41","2018-04-16 03:31:41",0,null
4004,Ugz0GVSaHWxASzFvZZF4AaABAg,g5joii7_wvs,"Chad Lickinstein",UCibKC42LJaxjlIIIwNkQUJA,"Saddam Hussein didnt  have chemical weapons, the nwos playbook","Saddam Hussein didnt  have chemical weapons, the nwos playbook",0,"2018-04-16 02:45:21","2018-04-16 02:45:21",0,null
4005,UgyF5kt6NmffXWgZJOJ4AaABAg,g5joii7_wvs,"Steve Gordon",UC7voeLsD-kcgaCSnOrb7Ybg,"Total bullshit.","Total bullshit.",0,"2018-04-16 01:50:02","2018-04-16 01:50:02",0,null
4006,UgwHMcdBN3RXejFLawt4AaABAg,g5joii7_wvs,"andrew stanley",UCleu59zRyprgXXl_FshYHFQ,"i hope your right because if your not usa uk france or war criminals and our governments","i hope your right because if your not usa uk france or war criminals and our governments",0,"2018-04-16 01:31:51","2018-04-16 01:31:51",0,null
4007,Ugzvi6YbMuFtuj1CUtt4AaABAg,g5joii7_wvs,"Denise A",UCH4UgF_wIZapn4ewukm_gVQ,"That was for Otis Morgan","That was for Otis Morgan",0,"2018-04-16 01:21:50","2018-04-16 01:21:50",0,null
4008,UgzLR4ALVUfsKAsF5nV4AaABAg,g5joii7_wvs,"Denise A",UCH4UgF_wIZapn4ewukm_gVQ,"Its not a religion its a relationship with Jesus your not hurting anyones feelings,your hurting your self, hell is real you either belong to God or the deval. Ill be praying for you!","Its not a religion its a relationship with Jesus your not hurting anyones feelings,your hurting your self, hell is real you either belong to God or the deval. Ill be praying for you!",1,"2018-04-16 01:20:19","2018-04-16 01:20:19",0,null
4009,UgxB1ZhhpeIC79xjjL14AaABAg,g5joii7_wvs,"Cayrick Pan",UC5DkeSJYOCgUkwkX2uL5w1w,"This guy is like David Wilcox; there is a white knight out there and he will save humanity.Trump is a product of the 2 party system. He has surrounded himself with hawks like Bolton and the mad dog. This is a wartime cabinet not a peacetime cabinet. Trump is accustomed to corporate brinksmanship. Here we are talking about geo-political brinksmanship a whole different game. Trumps advisors love war and Trump will deliver it to them. The attack was timed to clean up the crime false flag scene before the UN team arrived and exposed the big lie. I expect no troops will be returning and this will escalate because the globalists are looking for war and are trying to goad Putin into pulling the trigger.","This guy is like David Wilcox; there is a white knight out there and he will save humanity.Trump is a product of the 2 party system. He has surrounded himself with hawks like Bolton and the mad dog. This is a wartime cabinet not a peacetime cabinet. Trump is accustomed to corporate brinksmanship. Here we are talking about geo-political brinksmanship a whole different game. Trumps advisors love war and Trump will deliver it to them. The attack was timed to clean up the crime false flag scene before the UN team arrived and exposed the big lie. I expect no troops will be returning and this will escalate because the globalists are looking for war and are trying to goad Putin into pulling the trigger.",0,"2018-04-16 00:35:59","2018-04-16 00:35:59",0,null
4010,UgwIO22QWWkxpy6HbdJ4AaABAg,g5joii7_wvs,"Zero Days Life",UCXP-7fjFNh-4uARe5QGX3cg,"I told friends that we bombed empty buildings, now I know we did and I questioned Trump, but now I’m very relieved. MAGA.","I told friends that we bombed empty buildings, now I know we did and I questioned Trump, but now I’m very relieved. MAGA.",1,"2018-04-16 00:11:30","2018-04-16 00:11:30",0,null
