id,comment_id,video_id,commenter_name,commenter_id,comment_displayed,comment_original,likes,published_date,updated_date,total_replies,replyto
4379,UgyQIzCr2z6KYF46sYd4AaABAg,jlGuBqQPxF8,"Renee Hannan",UCjTFbNgQBdZ0w2Oay8lzpNQ,"Puttin you BETTER cool your arm pits broo I have some nice armenhammer for ya on sale $1 special oh yeah those dollar stores PUTTIN CHILL PLZZ YOUR NOT NO MIGHTY ANYTHINGGGG","Puttin you BETTER cool your arm pits broo I have some nice armenhammer for ya on sale $1 special oh yeah those dollar stores PUTTIN CHILL PLZZ YOUR NOT NO MIGHTY ANYTHINGGGG",0,"2018-04-15 22:11:05","2018-04-15 22:11:05",0,null
4380,UgyIOa6B-8Z8ogitqVF4AaABAg,jlGuBqQPxF8,"Breaking News TV Russian Accent",UCMCu6siE6psoEHjRuR2_hJg,"I cannot believe that my 2 years old videos are still getting so many views on other channels","I cannot believe that my 2 years old videos are still getting so many views on other channels",1,"2018-04-15 21:15:08","2018-04-15 21:15:08",0,null
4381,UgxED5mjlH1O0LkaSxl4AaABAg,jlGuBqQPxF8,"Undisputed Records",UC0gShOch34bP9WAREVjLE8g,#Makaveli,#Makaveli,0,"2018-04-15 20:43:36","2018-04-15 20:43:36",0,null
4382,Ugw_97E_MQeU6tn745t4AaABAg,jlGuBqQPxF8,blahblah,UCP1xXgl3FBRmtZVIyI4WM0A,"We commoners will never have a say with regards to what the high lords do. All we can do is keep our souls as ready as possible and carry on with our lives until its our time.","We commoners will never have a say with regards to what the high lords do. All we can do is keep our souls as ready as possible and carry on with our lives until its our time.",0,"2018-04-15 20:18:29","2018-04-15 20:18:29",0,null
4383,UgwMLLVIcbv9WbcRDVV4AaABAg,jlGuBqQPxF8,"Romek Dubczek",UCQ1qxfhesd23pSu-xX3ULww,"oh no, the guy with the strange accent","oh no, the guy with the strange accent",0,"2018-04-15 19:41:52","2018-04-15 19:41:52",0,null
4384,UgzI2WiNOq1_tIBnwm54AaABAg,jlGuBqQPxF8,"Ellondel Sinoy",UCLBIIAjXk55FFNpMwV-fhVA,"I think f ww3 will start America will lose ..and that the time of Antichrist to rise if America be will fall.","I think f ww3 will start America will lose ..and that the time of Antichrist to rise if America be will fall.",0,"2018-04-15 19:00:52","2018-04-15 19:00:52",0,null
4385,Ugzn2NVlZ5viNNUIZON4AaABAg,jlGuBqQPxF8,"Bubba Giles",UCNFvQJsuNPqF1WWObs3Xe3w,"FK Russia and the horse they rode in on.they were responsible for destroying those chemicals.","FK Russia and the horse they rode in on.they were responsible for destroying those chemicals.",0,"2018-04-15 18:51:13","2018-04-15 18:51:13",0,null
4386,Ugyr_y8prTqWc98IYWt4AaABAg,jlGuBqQPxF8,"terry shead",UC8pWFffLwzXK0DFt-diOGxA,"These idiots are psychopaths, they all want to die, bring it on you sick idiots.","These idiots are psychopaths, they all want to die, bring it on you sick idiots.",0,"2018-04-15 18:30:10","2018-04-15 18:30:10",0,null
4387,UgwWIw4OGPuYChA-36B4AaABAg,jlGuBqQPxF8,Wooooooooooooooooooo,UCNItBPgg0809SooVXxYP-Ng,"how many adds???? Disgusting I thought youd take this more seriously.....","how many adds???? Disgusting I thought youd take this more seriously.....",0,"2018-04-15 18:18:38","2018-04-15 18:18:38",0,null
4388,UgyJmdHeGx8K2-yIdR14AaABAg,jlGuBqQPxF8,"Jackie Blue",UCJQvLlvLV-KNlHIpnA_4FJw,"This is what Trump supporters put in office https://www.theatlantic.com/politics/archive/2017/01/donald-trump-scandals/474726/","This is what Trump supporters put in office https://www.theatlantic.com/politics/archive/2017/01/donald-trump-scandals/474726/",0,"2018-04-15 18:00:13","2018-04-15 18:00:13",0,null
4389,UgzxVNS0R-6QfAGloV14AaABAg,jlGuBqQPxF8,"j wardroper",UCIZTmxDjNp-UHAS7bBRQAkA,"putin its all about you ! rip off","putin its all about you ! rip off",0,"2018-04-15 17:53:25","2018-04-15 17:53:25",0,null
4390,UgzMem-7loH2HYnlzRR4AaABAg,jlGuBqQPxF8,"Jonas A",UCEBJSelU09gWGv7HyOoTunQ,"Blah blah. A bunch ot bullshit.","Blah blah. A bunch ot bullshit.",0,"2018-04-15 17:41:21","2018-04-15 17:41:21",0,null
4391,Ugz_9afduPv_Ta2gxhZ4AaABAg,jlGuBqQPxF8,506jimbob,UCovdse7VbGb9sF6gwqkshDw,"Its so exciting....","Its so exciting....",0,"2018-04-15 17:38:21","2018-04-15 17:38:21",0,null
4392,Ugxz7jlPCOaHMNbYhax4AaABAg,jlGuBqQPxF8,"Truth Better Than Fiction",UCuR9YE_ODYR_jERoVvylumg,"Bullshit News, worse than CNN","Bullshit News, worse than CNN",0,"2018-04-15 17:32:18","2018-04-15 17:32:18",0,null
4393,UgzJKIDowDM-QdnD-Rp4AaABAg,jlGuBqQPxF8,"Ilikeminecraft Allday",UCWtbDD7mHLLnTvkv70-db2Q,"When you look up for ww3 vids and the comments are about Jesus-.-","When you look up for ww3 vids and the comments are about Jesus-.-",0,"2018-04-15 17:31:54","2018-04-15 17:31:54",0,null
4394,Ugx4Ro56VMBDti7bPP94AaABAg,jlGuBqQPxF8,"C Gall",UC_1913Lfc_HvkpOauHfaFCw,"rt is owned by alt-left-anti-American-commies.","rt is owned by alt-left-anti-American-commies.",1,"2018-04-15 17:25:29","2018-04-15 17:25:29",0,null
4395,UgxqTZSPCU73f4iBnCp4AaABAg,jlGuBqQPxF8,"Michael Stanton",UCbkUN6LV803X5sSPu56ljcQ,"Putin would be hiding in a hole in 5 min. Russia is weak, they cant compete. If they had a greater military power, they would have used it against us already, like they have to anyone weaker.","Putin would be hiding in a hole in 5 min. Russia is weak, they cant compete. If they had a greater military power, they would have used it against us already, like they have to anyone weaker.",0,"2018-04-15 16:57:03","2018-04-15 16:57:03",0,null
