id,comment_id,video_id,commenter_name,commenter_id,comment_displayed,comment_original,likes,published_date,updated_date,total_replies,replyto
12182,UgwtQtQ1zZn9r-FjH0Z4AaABAg,mkBbFWxLIT8,Ronaldreganfan,UCnMQFrfWvmx06eJZ5qcST9w,"I wish I was young again . I’d like to be back on the flight deck of any of the carriers today .HOOYA !!!!!","I wish I was young again . I’d like to be back on the flight deck of any of the carriers today .HOOYA !!!!!",0,"2018-04-16 22:48:28","2018-04-16 22:48:28",0,null
12183,Ugxx8SjZWY7cYdCmkHl4AaABAg,mkBbFWxLIT8,"Kyo Nobunaga",UCJ8Eb8Zr2nlS5M6GZE9-ksw,"@ 1:04 = Salamander !","@ 1:04 = Salamander !",0,"2018-04-15 21:26:06","2018-04-15 21:26:06",0,null
12184,UgyYlN-vsS5FaEUsQih4AaABAg,mkBbFWxLIT8,"Andreas Engeli",UCRjMR-R15kbDxvtHQfCbx3g,"How many military bases have the imperial motherf***** set up worldwide with the help of the fn petrodollar. Peace and prosperity to the world, bs.","How many military bases have the imperial motherf***** set up worldwide with the help of the fn petrodollar. Peace and prosperity to the world, bs.",0,"2018-04-15 19:21:53","2018-04-15 19:21:53",0,null
12185,UgxHj6xQOp1rDM5tThh4AaABAg,mkBbFWxLIT8,okasie,UCJuHmV1Ibv-j5dx_Aedhdsw,"Bullshit ?","Bullshit ?",0,"2018-04-15 17:54:27","2018-04-15 17:54:27",0,null
12186,UgwXqaC26ubrtrWux_V4AaABAg,mkBbFWxLIT8,"the gator",UCLVEcc0pXYiIk8oU9arxt4Q,"WHEN THE CHIPS ARE DOWN, STAY OUT OF THE COW PASTURE!","WHEN THE CHIPS ARE DOWN, STAY OUT OF THE COW PASTURE!",0,"2018-04-15 17:39:04","2018-04-15 17:39:04",0,null
12187,UgzerTDyTJC_p0C8_Xt4AaABAg,mkBbFWxLIT8,"Jamey Ray Davis",UCCU1eR_R1SJtq-Bq5wjQkRQ,"Quick putting lies on you tube, you attention grabber!! Damn.","Quick putting lies on you tube, you attention grabber!! Damn.",0,"2018-04-15 16:50:32","2018-04-15 16:50:32",0,null
12188,UgysQHl9-UgHa3ZXd094AaABAg,mkBbFWxLIT8,mrgreeting1955,UCbfIn7tEqH_UiU6zbq0R0NQ,"no american the world will peace.","no american the world will peace.",0,"2018-04-15 15:30:35","2018-04-15 15:30:35",0,null
12189,UgwOnwIWbAfZDI-A_FB4AaABAg,mkBbFWxLIT8,"sky ciel",UCxvOfZuaLY-AX8XKvC8zJGg,"why dont russia and china just eliminate these nasty inferior crusadic wtches et rats species. they r just some pollution in eyesight. disgusting","why dont russia and china just eliminate these nasty inferior crusadic wtches et rats species. they r just some pollution in eyesight. disgusting",0,"2018-04-15 15:04:30","2018-04-15 15:04:30",0,null
12190,UgwclEbb1Ob1jj4rRbV4AaABAg,mkBbFWxLIT8,"Patrick Hobin",UCAlboBIE1VvMhNAn9z7e_DQ,"Russian Info Op channel","Russian Info Op channel",0,"2018-04-15 12:14:33","2018-04-15 12:14:33",0,null
12191,UgzFdXEgaIVuX3pNrDt4AaABAg,mkBbFWxLIT8,"Benjamin Brax",UCbcA4mjW1hAx95Nxos0iZxA,"who u think funded the syrians who wanted to kill asad","who u think funded the syrians who wanted to kill asad",0,"2018-04-15 11:00:12","2018-04-15 11:00:12",0,null
12192,UgylIPJskOJI8EOuUjR4AaABAg,mkBbFWxLIT8,"Benjamin Brax",UCbcA4mjW1hAx95Nxos0iZxA,"America and the UNITED SNAKES wont survive this war","America and the UNITED SNAKES wont survive this war",0,"2018-04-15 10:58:50","2018-04-15 10:58:50",0,null
12193,UgxVuOcdDATfU2nn_3l4AaABAg,mkBbFWxLIT8,"Greg M",UCzR0DhjiOJTqX81Q09aoCsQ,Ass,Ass,0,"2018-04-15 10:36:42","2018-04-15 10:36:42",0,null
12194,UgyK5UlMLf5Yc5GU1AN4AaABAg,mkBbFWxLIT8,"Susan Bukera",UCo-FJMd24IKC5op8Qgw_nWA,"Trump did not start WW3...
Trump is trying to stop a mad man from advancing anymore in chemical weaponry...That could have the potential to hit other nations...","Trump did not start WW3...
Trump is trying to stop a mad man from advancing anymore in chemical weaponry...That could have the potential to hit other nations...",0,"2018-04-15 08:03:41","2018-04-15 08:03:41",0,null
12195,UgxAtyNdw3LG8oBJq7J4AaABAg,mkBbFWxLIT8,"Langdonfairchild 1ST",UC0VZYVCHIWZTyxC1TfrZH-Q,Idiot,Idiot,0,"2018-04-15 07:32:08","2018-04-15 07:32:08",0,null
12196,Ugzh5YI1BnwsY4VzNFp4AaABAg,mkBbFWxLIT8,"Bee be Cee",UCkcrLDOvMJvwtknn57LUCIA,"Gordon Chang is a f. idiot and he gets his news from cnn.
Go visit Hawaii and learn yourself a lesson in history, you stupid dickhead.","Gordon Chang is a f. idiot and he gets his news from cnn.
Go visit Hawaii and learn yourself a lesson in history, you stupid dickhead.",0,"2018-04-15 07:11:58","2018-04-15 07:16:17",0,null
12197,UgwIhSeKrrrOntsrt-F4AaABAg,mkBbFWxLIT8,"Andrew and Izzy gaming",UCdJWEPeipx3tKZ4ZTxd3qMA,"Calm down were not in ww3 yet were in a cold war 2","Calm down were not in ww3 yet were in a cold war 2",0,"2018-04-15 07:00:24","2018-04-15 07:00:24",0,null
12198,Ugz1GLNJSD1MVdoWRE54AaABAg,mkBbFWxLIT8,"Mohd Najib Ahmad",UCv_-iTSywWl5fdJbnI_uS_A,"just Rats of illuminity.. shame of your goverment can be exploited","just Rats of illuminity.. shame of your goverment can be exploited",0,"2018-04-15 06:41:20","2018-04-15 06:41:20",0,null
12199,UgxV8awpNW5yv8hGSPR4AaABAg,mkBbFWxLIT8,Andreas,UCnmhZW3pQrCpcicclOnKr1g,"wow man. You got 10 commies in 13 and a half minutes ... eat shit. Im not going to watch it.","wow man. You got 10 commies in 13 and a half minutes ... eat shit. Im not going to watch it.",0,"2018-04-15 06:27:58","2018-04-15 06:27:58",0,null
12200,Ugxcv8UGP9O3-vizB894AaABAg,mkBbFWxLIT8,Blakelikesfood,UCOTSfXXuHPyMxgiueLcDogg,"Yawn, this channel = The Onion","Yawn, this channel = The Onion",1,"2018-04-15 06:14:37","2018-04-15 06:14:37",0,null
12201,Ugyc6we0pIJx4x7_0R54AaABAg,mkBbFWxLIT8,"sanjay thakur",UCViIYASEYLGjreg2SSi-bGA,"trum will do good for all world all will ok","trum will do good for all world all will ok",0,"2018-04-15 06:09:06","2018-04-15 06:09:06",0,null
12202,UgyO_GASTV5C4G9Ia3p4AaABAg,mkBbFWxLIT8,"william fernandes",UCD_MlmSQOUFHbSrQLeuUYTA,"I said 2017 year end onwards there will be a war the final war: the 3rd world war. When I said this from last 2 years my colleagues used to laugh and make fun of me. Now when I am quite then people themselves are trying to contact me. Hahaha what kind of people these are. Now I laugh at them. Anyways, world war 3 has begun and this will only escalate and will end with all the countries using nuclear weapons which will result in total destruction. Even if you see peace at some time that will be a only a way to a major escalation. Mark my words. My name is William Daniel Fernandes.","I said 2017 year end onwards there will be a war the final war: the 3rd world war. When I said this from last 2 years my colleagues used to laugh and make fun of me. Now when I am quite then people themselves are trying to contact me. Hahaha what kind of people these are. Now I laugh at them. Anyways, world war 3 has begun and this will only escalate and will end with all the countries using nuclear weapons which will result in total destruction. Even if you see peace at some time that will be a only a way to a major escalation. Mark my words. My name is William Daniel Fernandes.",1,"2018-04-15 05:43:55","2018-04-15 05:43:55",1,null
12203,UgyO_GASTV5C4G9Ia3p4AaABAg.8f2bhmDsXv98f2t9qQJBWU,mkBbFWxLIT8,"Susan Bukera",UCo-FJMd24IKC5op8Qgw_nWA,"william fernandes Read Psalm 83...
Damascus will be utterly destroyed one day...then the rapture of the church...then rise of the Antichrist...with 3 and a half years of false peace...then peace is broken into WW3...then Christ Jesus returns to punish the evil men on Earth and then Christ Jesus  sets up HIS victorious kingdom on Earth...
Check out Hal Linsey on YouTube teaching on biblical end prophecies...
He gives clear sound teaching on the scriptures...","william fernandes Read Psalm 83...
Damascus will be utterly destroyed one day...then the rapture of the church...then rise of the Antichrist...with 3 and a half years of false peace...then peace is broken into WW3...then Christ Jesus returns to punish the evil men on Earth and then Christ Jesus  sets up HIS victorious kingdom on Earth...
Check out Hal Linsey on YouTube teaching on biblical end prophecies...
He gives clear sound teaching on the scriptures...",0,"2018-04-15 08:16:26","2018-04-15 08:16:26",0,UgyO_GASTV5C4G9Ia3p4AaABAg
12204,UgyIUbIJqzHCiRQZ0kV4AaABAg,mkBbFWxLIT8,"Sihar Tobing",UCUbxTT3unOj2Kaqtse-zOhQ,"Its Nomally for the angry country...Bravo.","Its Nomally for the angry country...Bravo.",1,"2018-04-15 05:10:45","2018-04-15 05:10:45",0,null
12205,Ugx90dLUbVOwPFCFcA94AaABAg,mkBbFWxLIT8,"WILD GAMING",UCmkzCA_CecK_byQU7UtabqQ,"NO HE HASNT SHEEPLE GET BACK TO YOUR PIN BEFORE YOUR SHEPHERD COMES BACK!!","NO HE HASNT SHEEPLE GET BACK TO YOUR PIN BEFORE YOUR SHEPHERD COMES BACK!!",0,"2018-04-15 05:05:50","2018-04-15 05:05:50",0,null
12206,UgxXJfrAOc_3ule7q3V4AaABAg,mkBbFWxLIT8,"Charlie Montana",UC_HnMLjHcHAX9_A886rhH-A,"Just sabre rattling!","Just sabre rattling!",0,"2018-04-15 04:56:02","2018-04-15 04:56:02",0,null
