id,comment_id,video_id,commenter_name,commenter_id,comment_displayed,comment_original,likes,published_date,updated_date,total_replies,replyto
14355,UgwOiEwjzoclNVQeKWl4AaABAg,nHeQfqLBc9M,brizzx32,UC3eoji-fm-GEQpV0JbYVufg,"FEMA re budgeted from yours truly Thanks Mr. Trump!!","FEMA re budgeted from yours truly Thanks Mr. Trump!!",0,"2018-04-20 05:45:15","2018-04-20 05:45:15",0,null
14356,UgwOVlP9s035kjfnDnN4AaABAg,nHeQfqLBc9M,"Reality isnt A choice",UC49iHVjmvIREQo4_Y-02vzg,"If that was FEMA there would be trks attached to those trlrs..thats just a new drop yard.
..FEMA doesnt own anything alone their funded to be a bank account thats why they always hire companies to do most of their work that military and state agencies cant do..","If that was FEMA there would be trks attached to those trlrs..thats just a new drop yard.
..FEMA doesnt own anything alone their funded to be a bank account thats why they always hire companies to do most of their work that military and state agencies cant do..",0,"2018-04-20 05:23:40","2018-04-20 05:27:10",0,null
14357,Ugymdu9N7mKwK4i5tnF4AaABAg,nHeQfqLBc9M,"Richard Peralez",UCGjVX9n8isJh1Q_nSg9hjxQ,"The best thing you can do is clean out your bank accounts before it is to late, and give me all your money.. Time is running out.. Hurry my children..","The best thing you can do is clean out your bank accounts before it is to late, and give me all your money.. Time is running out.. Hurry my children..",0,"2018-04-20 04:25:26","2018-04-20 04:25:26",0,null
14358,UgxBds4SRUYxjUenlJ54AaABAg,nHeQfqLBc9M,"Dustin Ryckman",UCigE72i69CtKa9Pt-0pr9ZA,"I’ve been saying the martial law thing for Walmart for many many years, everybody told me I was being paranoid. Everyone is just now figuring this out?","I’ve been saying the martial law thing for Walmart for many many years, everybody told me I was being paranoid. Everyone is just now figuring this out?",0,"2018-04-20 04:25:19","2018-04-20 04:25:19",0,null
14359,Ugzjoa1_kkPHCgpth0t4AaABAg,nHeQfqLBc9M,"nobody nobody",UCvn2_fnkkeOAxeF7D3DkW0Q,"Why dont you break in there and see what the Fuck is going on ?","Why dont you break in there and see what the Fuck is going on ?",0,"2018-04-20 03:37:16","2018-04-20 03:37:16",0,null
14360,UgxqhQHHctnW0i1bdrZ4AaABAg,nHeQfqLBc9M,"Galaxycoco Lacey",UCg8v5fvvwk8He8AxclfWLJw,"It breaks my heart when you try to wake ppl up they say your crazy. They scream doom and gloom. Or they cry CONSPIRACY THEORIES... God have mercy, but His mercy is running out for this country and the world.","It breaks my heart when you try to wake ppl up they say your crazy. They scream doom and gloom. Or they cry CONSPIRACY THEORIES... God have mercy, but His mercy is running out for this country and the world.",0,"2018-04-20 03:34:44","2018-04-20 03:34:44",0,null
14361,UgzivY8-yIkndzBqqWR4AaABAg,nHeQfqLBc9M,"John Lisdak",UCT0qAPILuxI0M1gQ5ZdwIHg,"Fwi its is illegal to travel in convoy like that, to do that you basically need to have a lot of pull, and your cargo has to be super valuable, no privately owned store has that kind of power","Fwi its is illegal to travel in convoy like that, to do that you basically need to have a lot of pull, and your cargo has to be super valuable, no privately owned store has that kind of power",0,"2018-04-20 02:53:05","2018-04-20 02:53:05",0,null
14362,UgyA5dfNOt2rA-wRWAN4AaABAg,nHeQfqLBc9M,"kevin Brubaker",UCTX-mQwmoU6WhUCD7qkB4GQ,"You guys are idiots, fema trailers, that’s what they do dumb-asses, supply temporary housing in case of a disaster.  Trailers by the Target remodel, did you see the construction stuff like the rolled up insulating?  I hope they take you yokels first.","You guys are idiots, fema trailers, that’s what they do dumb-asses, supply temporary housing in case of a disaster.  Trailers by the Target remodel, did you see the construction stuff like the rolled up insulating?  I hope they take you yokels first.",0,"2018-04-20 02:20:33","2018-04-20 02:20:33",0,null
14363,Ugxie84BFJBJbPQFE4V4AaABAg,nHeQfqLBc9M,"Allison Slater",UC2F3KZm-hS6ZKidf50UcNsQ,"They have the same things at the one in Lakewood, WA. Due to “remodeling”.","They have the same things at the one in Lakewood, WA. Due to “remodeling”.",0,"2018-04-20 01:02:32","2018-04-20 01:02:32",0,null
14364,UgwOMz3lOLcYUgH71r54AaABAg,nHeQfqLBc9M,"LU TS",UCAwU15uagk9labh7Svli3Ng,"This is why conspiracy theorists have a bad name. Of course FEMA has trucks. How the fuck else are they to get supplies to people? Wal comes from the guys name Mart means market. Dumbass.","This is why conspiracy theorists have a bad name. Of course FEMA has trucks. How the fuck else are they to get supplies to people? Wal comes from the guys name Mart means market. Dumbass.",0,"2018-04-19 23:30:29","2018-04-19 23:30:29",0,null
14365,Ugx4CDBqtPJoJO1Xat54AaABAg,nHeQfqLBc9M,"Michael Pissoff",UCA7ZAEAukAKhah9kNX6VWNA,"Get your mind away from the war theory. Thats what they want you to believe.  It will be 100% something natural catastrophic event and soon. You will have a role to play in it if you live but I almost think its better to die when it starts.","Get your mind away from the war theory. Thats what they want you to believe.  It will be 100% something natural catastrophic event and soon. You will have a role to play in it if you live but I almost think its better to die when it starts.",0,"2018-04-19 22:54:37","2018-04-19 22:54:37",0,null
14366,UgycAskhy65LbfSOZ_54AaABAg,nHeQfqLBc9M,"Michael Pissoff",UCA7ZAEAukAKhah9kNX6VWNA,"Not ww3 you stupid bastards. It always has been the knowledge of a celestial body incoming to wipe out life on our planet. The rumors of war are a distraction and lies","Not ww3 you stupid bastards. It always has been the knowledge of a celestial body incoming to wipe out life on our planet. The rumors of war are a distraction and lies",0,"2018-04-19 22:50:57","2018-04-19 22:50:57",0,null
14367,UgzvzElIv48D4uyQgTp4AaABAg,nHeQfqLBc9M,JonesHvac,UC5IIOPKKGQ9BuOflQq-y1DQ,"The no license plate thing is strange","The no license plate thing is strange",0,"2018-04-19 22:36:17","2018-04-19 22:36:17",0,null
14368,UgyUt4m2BknsaQ7a3CF4AaABAg,nHeQfqLBc9M,"ZOE SMITH",UCXQTtpjKnhjECGk4tstMm3Q,"There is no martial law about to take place, you people wait until something go wrong and bring up this dumb Shit that suppose to have happened hundreds of times in the past,you people is no better than the end of the world and planet x mongers....","There is no martial law about to take place, you people wait until something go wrong and bring up this dumb Shit that suppose to have happened hundreds of times in the past,you people is no better than the end of the world and planet x mongers....",0,"2018-04-19 22:04:55","2018-04-19 22:04:55",0,null
14369,UgwZnJG9_sfyy0ZzBmx4AaABAg,nHeQfqLBc9M,"carol g",UCaNze2_n7okPQVZsu3tvCXQ,"why do you all push this crap;","why do you all push this crap;",0,"2018-04-19 21:52:10","2018-04-19 21:52:10",0,null
14370,Ugxagb9SMbNJM6Z-BJ94AaABAg,nHeQfqLBc9M,"Patrick Polson",UCuHwEmxpqRZX6G8BVAeTPiw,"lol yourjust about dumb af lmao","lol yourjust about dumb af lmao",0,"2018-04-19 21:23:13","2018-04-19 21:23:13",0,null
14371,UgwuYd1BX2_ocOI-XrR4AaABAg,nHeQfqLBc9M,"WH6FQE - The Kilted Piper",UC8A5lRiHMf2bPgrvth7t_0A,"Those are NOT FEMA trucks you idiot. My God, I wish you would take your medicine, or see your doctor to get some because you clearly need them.","Those are NOT FEMA trucks you idiot. My God, I wish you would take your medicine, or see your doctor to get some because you clearly need them.",0,"2018-04-19 18:58:27","2018-04-19 18:58:27",0,null
14372,UgypQOIA1lRfctWC2cN4AaABAg,nHeQfqLBc9M,"Andrew Miranda",UC-en1SBlRpsebdT9SeWk1Qg,"Wal-Mart does not stand for martial law, you sir gotta lay off the peyote","Wal-Mart does not stand for martial law, you sir gotta lay off the peyote",1,"2018-04-19 18:53:46","2018-04-19 18:53:46",1,null
14373,UgypQOIA1lRfctWC2cN4AaABAg.8fEKHIOxCEz8fFEZoxHIY-,nHeQfqLBc9M,"Peggie Walker",UCjlMfUkm2m2HNwf0C5vAjvw,"Andrew Miranda ..lol","Andrew Miranda ..lol",0,"2018-04-20 03:23:07","2018-04-20 03:23:07",0,UgypQOIA1lRfctWC2cN4AaABAg
14374,Ugz7pCQVEwdhT2y8PDB4AaABAg,nHeQfqLBc9M,"Andrew Miranda",UC-en1SBlRpsebdT9SeWk1Qg,"You all are stupid, this nonsense has been going on for years, still waiting","You all are stupid, this nonsense has been going on for years, still waiting",0,"2018-04-19 18:51:12","2018-04-19 18:51:12",0,null
