id,comment_id,video_id,commenter_name,commenter_id,comment_displayed,comment_original,likes,published_date,updated_date,total_replies,replyto
7395,UgzCSN_ioOkS2Dz9fCB4AaABAg,njeN8GCGnYE,"jason biehn",UCYsZEsw_-19CtkZNP9tPd4w,"Well people I hate to break it to you but the real bad guys is America.....","Well people I hate to break it to you but the real bad guys is America.....",0,"2018-04-20 02:16:24","2018-04-20 02:16:24",0,null
7396,UgzLipq-i37RTnZojW14AaABAg,njeN8GCGnYE,"jason biehn",UCYsZEsw_-19CtkZNP9tPd4w,"Putin turn the lights out in America and let everything take care of its self the strong will live and the weak will die or become somebody slave,good luck...","Putin turn the lights out in America and let everything take care of its self the strong will live and the weak will die or become somebody slave,good luck...",0,"2018-04-20 02:12:31","2018-04-20 02:12:31",0,null
7397,Ugz3vZXNxDDJWPkIhTZ4AaABAg,njeN8GCGnYE,Rage_x,UCzw82XgR6HqLJryl_WutHtQ,"So is putin the savior of humanity??","So is putin the savior of humanity??",0,"2018-04-17 05:49:29","2018-04-17 05:49:29",0,null
7398,UgyfVS7FL0Ox-1iS8754AaABAg,njeN8GCGnYE,"James Poole",UCLhCAO0VqAH27uNWOVKYxxA,"obama and the clintons funded isis","obama and the clintons funded isis",0,"2018-04-17 02:34:20","2018-04-17 02:34:20",0,null
7399,UgyuYq8skdn6oA9xswV4AaABAg,njeN8GCGnYE,"James Poole",UCLhCAO0VqAH27uNWOVKYxxA,"that video is more than a year old","that video is more than a year old",0,"2018-04-17 02:31:32","2018-04-17 02:31:32",0,null
7400,UgwqZmzG4qUdAJlhp9J4AaABAg,njeN8GCGnYE,"Theresa Gluckhertz",UCYLtquBO9Us3eQpq5bZBQvw,"This is old news","This is old news",0,"2018-04-16 23:57:32","2018-04-16 23:57:32",0,null
7401,UgxPQkQNBA1tqwYBlqF4AaABAg,njeN8GCGnYE,"Carol Tanguay",UC6XJr99PYmIBpBFlcD41tgQ,"I have a different point of view  on all of this.  We really have no idea what’s going on behind the scenes. We always think we do  but nah.  I worked at a plant for years as a temp worker and I thought I had a real good idea about what was happening, I listened to the manager of the crew who thought knew everything so I based my opinion on what I’d heard so I thought knew everything, I was wrong. Skip a few years, I went to college and now was executive assistant. I stepped back into that same plant and now working with the CEO.  Everything you think you know is absolutely nothing in comparison.  The guys /gals chatting in the office know only what they need to and It continues through the ranks. At the top you actually do know everything and now I understand why down the chain of command folks get the information all wrong.we know nothing about what happens behind the scenes, we didn’t know Trump was going to blast missiles to Syria until after..etc etc. as for Obama’s comment, he knows what is going on behind the scenes, he understands Trump is pushing for war and it’s getting closer to happening.  You betcha they are trying to calm some fears. No one wants a crazy paranoid person to start trying to save the world.","I have a different point of view  on all of this.  We really have no idea what’s going on behind the scenes. We always think we do  but nah.  I worked at a plant for years as a temp worker and I thought I had a real good idea about what was happening, I listened to the manager of the crew who thought knew everything so I based my opinion on what I’d heard so I thought knew everything, I was wrong. Skip a few years, I went to college and now was executive assistant. I stepped back into that same plant and now working with the CEO.  Everything you think you know is absolutely nothing in comparison.  The guys /gals chatting in the office know only what they need to and It continues through the ranks. At the top you actually do know everything and now I understand why down the chain of command folks get the information all wrong.we know nothing about what happens behind the scenes, we didn’t know Trump was going to blast missiles to Syria until after..etc etc. as for Obama’s comment, he knows what is going on behind the scenes, he understands Trump is pushing for war and it’s getting closer to happening.  You betcha they are trying to calm some fears. No one wants a crazy paranoid person to start trying to save the world.",0,"2018-04-16 16:36:55","2018-04-16 16:36:55",0,null
7402,Ugyg_fTQUyVQjQOdnj54AaABAg,njeN8GCGnYE,"Zaps Zapper",UCsXcD0965QHwojySq0akU3g,"Putin should target the U S  intelligence and , Banksters globalists first.","Putin should target the U S  intelligence and , Banksters globalists first.",0,"2018-04-16 15:53:06","2018-04-16 15:53:06",0,null
7403,UgyHWUC8Hz4qinTRf7N4AaABAg,njeN8GCGnYE,"I Comment",UC3HwwXRdmjK8uP5fwIqNqEg,"Mathew 28:2-9 And ye shall hear of bathroom wars and rumors of plunger wars: see that ye be not troubled by the stench: for all these things must come to pass, but the end is not yet. 

For determination shall rise against constipation, and kingdom against kingdom: and there shall be famines, and pestilences, and earthquakes, in divers places.  All these are the beginning of sorrows, but fear ye not, for sorrow leads to release an everlasting light.  Then shall they deliver you up to be afflicted, and shall kill you: and ye shall be hated of all nations of constipation names sake.

Free thy soul shall remain, as the large excrement in the bowl, until ye are ready to be free.. *flush..* weeeeeeeeeeeeee.","Mathew 28:2-9 And ye shall hear of bathroom wars and rumors of plunger wars: see that ye be not troubled by the stench: for all these things must come to pass, but the end is not yet. 

For determination shall rise against constipation, and kingdom against kingdom: and there shall be famines, and pestilences, and earthquakes, in divers places.  All these are the beginning of sorrows, but fear ye not, for sorrow leads to release an everlasting light.  Then shall they deliver you up to be afflicted, and shall kill you: and ye shall be hated of all nations of constipation names sake.

Free thy soul shall remain, as the large excrement in the bowl, until ye are ready to be free.. *flush..* weeeeeeeeeeeeee.",0,"2018-04-16 04:38:43","2018-04-16 04:38:43",0,null
7404,UgwGGHGR4abEtQ1zYFt4AaABAg,njeN8GCGnYE,"David Morgan",UCTRgwRuzf1yx2d--Ie21Tqw,"FOLLOW THE MONEY...... FOLLOW THE SHIT, How you are allowed on Youtube?","FOLLOW THE MONEY...... FOLLOW THE SHIT, How you are allowed on Youtube?",0,"2018-04-16 04:20:14","2018-04-16 04:20:14",0,null
