id,comment_id,video_id,commenter_name,commenter_id,comment_displayed,comment_original,likes,published_date,updated_date,total_replies,replyto
11228,UgybYZDhSW0-CS1IoW94AaABAg,t1gEPJtRZl8,"Max Min",UCokENcCEJ7FDYOC41v8rd3g,"What a dishonest guy!","What a dishonest guy!",0,"2018-04-15 22:12:48","2018-04-15 22:12:48",0,null
11229,Ugw9SW-z5FFY1v6tJmd4AaABAg,t1gEPJtRZl8,"scotty gardiner",UCUr_GZ3NEH7UcdcfxPDaOnQ,"Read your bible people...there is no hero in this confrontation. The world needs to recognize that the USA and Russia are referred to in revelations as Mystery Babylon and Magog. Only followers of Jesus Christ will be saved.","Read your bible people...there is no hero in this confrontation. The world needs to recognize that the USA and Russia are referred to in revelations as Mystery Babylon and Magog. Only followers of Jesus Christ will be saved.",0,"2018-04-15 19:46:53","2018-04-15 19:46:53",0,null
11230,UgxzhmCzNLCca2KgH114AaABAg,t1gEPJtRZl8,"Tosh One Star Man",UCLRI1rLIlV5lWJaFDw8w_pQ,"Fuck 100 ameticon","Fuck 100 ameticon",0,"2018-04-15 17:09:55","2018-04-15 17:09:55",0,null
11231,UgxeYxHsxq5fKhLW3DB4AaABAg,t1gEPJtRZl8,"Gerard Adikaram",UCGMxXaGBqsui7ItMfMfBvqQ,"Russians! Slow and steady wins the race. No panic. Let them keep dancing. Same to petro dollar.","Russians! Slow and steady wins the race. No panic. Let them keep dancing. Same to petro dollar.",2,"2018-04-15 06:53:02","2018-04-15 06:53:02",0,null
11232,UgxGqddoewugaxmS5ld4AaABAg,t1gEPJtRZl8,"To Da moon",UCpwdfVkY1bxIosBrGuUnH0Q,"Don’t mess with United States ??","Don’t mess with United States ??",0,"2018-04-15 06:52:09","2018-04-15 06:52:09",0,null
11233,Ugy1i2TErZ-aEy_25lx4AaABAg,t1gEPJtRZl8,"first name",UCs3q_jXoyajQiJPtYgQWbhA,"Bring it MF","Bring it MF",0,"2018-04-15 06:31:29","2018-04-15 06:31:29",0,null
11234,UgyZwSHxJGqcPMEK1gJ4AaABAg,t1gEPJtRZl8,"Lourduraj Arockiam",UCO4U49fhxhQQoIuwAvX5AOA,"Americans are hell bent on destroying every other country including Russia. England, France and usa will pay price soon that they cant afford. Out of their poverty they went all over the world. Now out of their stupidity they are preparing to get screwed in their own home land. Best wishes on your miscalculation.","Americans are hell bent on destroying every other country including Russia. England, France and usa will pay price soon that they cant afford. Out of their poverty they went all over the world. Now out of their stupidity they are preparing to get screwed in their own home land. Best wishes on your miscalculation.",0,"2018-04-15 05:33:04","2018-04-15 05:33:04",0,null
11235,UgyCRtzHyLA5PkJ9S_F4AaABAg,t1gEPJtRZl8,"Gregoriojr Ludivese",UCaBO0s6rVNr7-DRE7azn_pA,"Us and allied countries destroy other countries for their own interest.","Us and allied countries destroy other countries for their own interest.",0,"2018-04-15 05:13:58","2018-04-15 05:13:58",0,null
11236,UgzjaBKt0RBkn-P8QYt4AaABAg,t1gEPJtRZl8,"Bittu Parmar",UCtGmYLJ9884QAxqkr516Auw,"Russia will chew allies .","Russia will chew allies .",0,"2018-04-15 04:53:39","2018-04-15 04:53:39",0,null
11237,UgzVYiSndunw0DUt1ip4AaABAg,t1gEPJtRZl8,"myycooh cliff",UCi7ULnH_HZdZJBpepKgYkKg,"Just show up force if who really is the best  . . History keep repeating . . Go for war ill watch . . Hope internet would not cut off lol ?","Just show up force if who really is the best  . . History keep repeating . . Go for war ill watch . . Hope internet would not cut off lol ?",0,"2018-04-15 04:46:07","2018-04-15 04:46:07",0,null
11238,UgxUnmKJNE4jyAWG9PR4AaABAg,t1gEPJtRZl8,"Bart Orlando",UCwCxUu0Tj8IscJswZ5qFORA,"JFK did not listen to his generals during the Cuban Missile Crises.
Thats why were here and hes not.
Welcome to Jonestown!","JFK did not listen to his generals during the Cuban Missile Crises.
Thats why were here and hes not.
Welcome to Jonestown!",0,"2018-04-15 04:41:13","2018-04-15 05:09:48",0,null
11239,UgzDQVLg2ZfK0IMZex94AaABAg,t1gEPJtRZl8,"its me223",UC1EGqauodtx8XDPJFwYAiXA,"lol...s-300 and s-400 arent working,  maybe make-up a better CARTOON.  russia sucks/fake news.","lol...s-300 and s-400 arent working,  maybe make-up a better CARTOON.  russia sucks/fake news.",0,"2018-04-15 04:23:25","2018-04-15 04:23:25",0,null
11240,UgwHosrsEQG6UQRbFt54AaABAg,t1gEPJtRZl8,twaters57,UCld-viRPdg8zogUyuHvH9Aw,"The US will continue to bomb Syria until there is a regime change.","The US will continue to bomb Syria until there is a regime change.",0,"2018-04-15 03:59:34","2018-04-15 03:59:34",1,null
11241,UgwHosrsEQG6UQRbFt54AaABAg.8f2QlSl7g_x8f2VYvHiZFz,t1gEPJtRZl8,"Mukul Gogoi",UCjbnpJuzJ-Q3-aYi_q-4_9A,"Until it blows up into a hot war between Russia and US, France & UK.","Until it blows up into a hot war between Russia and US, France & UK.",0,"2018-04-15 04:41:24","2018-04-15 04:41:24",0,UgwHosrsEQG6UQRbFt54AaABAg
11242,UgzG-Y4lPS_VRUd7Cy94AaABAg,t1gEPJtRZl8,"Andrew Sakkas",UC1LDs6wYg9KiRv8Cn8vm5nQ,"Why is Russia defending chemical weapons facilities.","Why is Russia defending chemical weapons facilities.",0,"2018-04-15 03:55:46","2018-04-15 03:55:46",0,null
11243,UgwJnRBan34Gh38gNu54AaABAg,t1gEPJtRZl8,"eigor yalemul",UCxc0CVqADjNxNKhL0i_b1YQ,"Old news i know..obama times ...","Old news i know..obama times ...",0,"2018-04-15 03:36:35","2018-04-15 03:36:35",0,null
11244,UgzxI3oBA3YJg0VsvAF4AaABAg,t1gEPJtRZl8,"Robert Washington",UCgUKXLZCF-KYstXUGC8vBHQ,"That guy he doesnt know how to talk, he not convincing us","That guy he doesnt know how to talk, he not convincing us",0,"2018-04-15 02:25:20","2018-04-15 02:25:20",0,null
11245,Ugz1PhqA3R0JJGlNsqd4AaABAg,t1gEPJtRZl8,"Dubsy Dubs",UChUtokD2MU82QwJgl5yt-wg,"Humans learn about history so they dont make the same mistakes, or, humans learn about history so they can do a more efficient job of killing each other. I thought all these tossers were religious.","Humans learn about history so they dont make the same mistakes, or, humans learn about history so they can do a more efficient job of killing each other. I thought all these tossers were religious.",1,"2018-04-14 15:35:08","2018-04-14 15:36:33",0,null
11246,UgxxG40ZQd9P5KZakX94AaABAg,t1gEPJtRZl8,"Mwidini Njuguna",UCOfBz17x1JySvXhqlVlEY1w,"May we dwell in peace and tranquillity...","May we dwell in peace and tranquillity...",0,"2018-04-14 14:57:08","2018-04-14 14:57:08",0,null
11247,Ugw8H287hmHCcwKvwYx4AaABAg,t1gEPJtRZl8,roelof37,UC8UgAoU0-u5YUAME_FuekaA,"Those high elites are full of sh#t!
They are fighting over fossilfeuls, no about free energy for us all.
The fossilfeuls is what they give us and keep their power.","Those high elites are full of sh#t!
They are fighting over fossilfeuls, no about free energy for us all.
The fossilfeuls is what they give us and keep their power.",0,"2018-04-14 13:43:10","2018-04-14 13:43:10",0,null
11248,Ugyh7DUwdF6AxFn8F8l4AaABAg,t1gEPJtRZl8,roelof37,UC8UgAoU0-u5YUAME_FuekaA,"All you high elite bullies will not hold your precious power.
We the mass are fed up with your bullying!
We are fed up with your fossilfeul powergrip!
We coming for the free energydevices and we want you out!
Dafuq do you think we taking all this violence and dead from you!?
Think again!","All you high elite bullies will not hold your precious power.
We the mass are fed up with your bullying!
We are fed up with your fossilfeul powergrip!
We coming for the free energydevices and we want you out!
Dafuq do you think we taking all this violence and dead from you!?
Think again!",0,"2018-04-14 13:36:50","2018-04-14 13:36:50",0,null
