id,comment_id,video_id,commenter_name,commenter_id,comment_displayed,comment_original,likes,published_date,updated_date,total_replies,replyto
13359,Ugyw3WqkRsiBKFwrATx4AaABAg,ufHApVWmrpw,"Bill Tenner",UCsak6qDmQPvpN2fyVouxJMg,"Hmmm....the RU troops are already on the soil of the CSA.","Hmmm....the RU troops are already on the soil of the CSA.",0,"2018-04-20 00:26:27","2018-04-20 00:26:27",0,null
13360,UgwLAlZ7xMFO4uVYeXV4AaABAg,ufHApVWmrpw,"BRC C",UC6dpzqGhJ3J40ZJy5zKFtBA,"Why does everybody have to pay the consequences for the actions of a couple stupid people I just live here I really think it’s all stupid it’s like babies but instead of biting there shooting missles at each other","Why does everybody have to pay the consequences for the actions of a couple stupid people I just live here I really think it’s all stupid it’s like babies but instead of biting there shooting missles at each other",0,"2018-04-19 19:22:39","2018-04-19 19:22:39",0,null
13361,UgwbZP7Joth5VTcRDjZ4AaABAg,ufHApVWmrpw,"Shaun Clark",UCYU_dXhozdqmmeYsG2VxuyQ,"Send them trust me u dont wanna. Come here and start shit u might end up in the hood lol","Send them trust me u dont wanna. Come here and start shit u might end up in the hood lol",0,"2018-04-19 16:27:04","2018-04-19 16:27:04",0,null
13362,UgzCktYWeBsBKlwO01p4AaABAg,ufHApVWmrpw,"MYSTICAL OUIJA",UCN9C8X1jWbKT3mKRuU6Gm-A,?,?,0,"2018-04-19 13:12:45","2018-04-19 13:12:45",0,null
13363,Ugz4n6GAIMWbUUs70iJ4AaABAg,ufHApVWmrpw,"Rhonda clark",UCqPeG8fExPGif4jYRMg77Dw,"PLAUGES WARNING ,  GET OUT OF AMERICA. ILLEGALS FROM AFRICA MUSLIMS. ( blacks illegals joined Isis. ,  ????☪️AFRICANS MUSLIMS INVADED AMERICA MEXICO BY BOATS. ONLY MEN FIGHTERS. MILLIONS AND MILLIONS OF MUSLIMS INSIDE AMERICA. BECAUSE OF OBAMAS. BUTCHERING EVERY RACE. EVEN BACKS.  MILLIONS. HOME LESS IN AMERICA IN CALIFORNIA TOO.  BLACKS. MEXICANS LATINO ASIAN. CUBANS. Puerto Rican unite unite as one unite Chinese troops just added 2 million more fighters Mexico called for sale the war I ran warships in the golf of Mexico illegals and blacks joined Isys so you got a watch out for them to millions of Muslims have invaded America and Africans have 40 plagues and they invaded America to see got a watch out for that.  ( ????☪️UH UH LOOK WHATS HAPPENING AT THE MEXICO BORDER. ). YouTube it read my post PLAUGES warning. Isis lied about slavery. Biggest frauds in history !  Jesus Christ is white. White genocide world wide war.  Stop it.  Stop the hate.  Obama is antichrist. Minorities christian genocide by. Africans and Muslims. Illegals. Look. Look. At them invading chopping off arms legs heads on every race on video. ( BARE Naked ISLAM. COM AND YOUTUBE IT. SEE THE WHITE BABIES GETTING HEADS CUT OFF.  MEXICANS OR INDIANS OR ILLEGALS PROTEST WHITES.  YOUTUBE IT SEE THAT RACISM WHITES THAT HATE ?  Illegals threatens America.  YouTube threatens to cut whites heads off. See the hate. Africans blacks.   Illegals. Democratic Party. ANTIFA. LORETTA LYINCH CALLED FOR A CIVIL WAR ON WHITES. BLACKS ACTUALLY CALLED FOR A CIVIL WAR ON WHITES MEXICANS ASIAN LATINO. WHEN OBAMA ANTICHRIST CAME INTO OFFICE.   SEE HOW BLSCK HISTORY IS THE BIGGEST LIE ON EARTH.  YOUTUBE ????☪️UH UH LOOK WHATS HAPPENING AT THE MEXICO BORDER. ).  Get EVERY WHITE OUT IF America. OUT OF AFRICA.  WHITE GENOCIDE IN AMERICA AFRICA. NEXT.  DONT GO TO. MEXICO.  MORE AMERICAN WAS MURDERED IN MEXICO THAN WAS MURDERED IN AMERICA. THEY EVEN MURDERED TEACHERS THAT WAS PROTESTING IN MEXICO. DEMOCRATIC PARTY PROTEST FREEDOM OF SPEECH GUNS. GET GUNS BULLETS FOOD. WATTER. WHITES.  YES THEY HATE US.  BECAUSE JESUS CHRIST IS WHITE.READ MY POST.  JUST ADD (. 10 ZOMBIE VIRUS TO THEM PLAGUES LIST I PUT UP THERE !","PLAUGES WARNING ,  GET OUT OF AMERICA. ILLEGALS FROM AFRICA MUSLIMS. ( blacks illegals joined Isis. ,  ????☪️AFRICANS MUSLIMS INVADED AMERICA MEXICO BY BOATS. ONLY MEN FIGHTERS. MILLIONS AND MILLIONS OF MUSLIMS INSIDE AMERICA. BECAUSE OF OBAMAS. BUTCHERING EVERY RACE. EVEN BACKS.  MILLIONS. HOME LESS IN AMERICA IN CALIFORNIA TOO.  BLACKS. MEXICANS LATINO ASIAN. CUBANS. Puerto Rican unite unite as one unite Chinese troops just added 2 million more fighters Mexico called for sale the war I ran warships in the golf of Mexico illegals and blacks joined Isys so you got a watch out for them to millions of Muslims have invaded America and Africans have 40 plagues and they invaded America to see got a watch out for that.  ( ????☪️UH UH LOOK WHATS HAPPENING AT THE MEXICO BORDER. ). YouTube it read my post PLAUGES warning. Isis lied about slavery. Biggest frauds in history !  Jesus Christ is white. White genocide world wide war.  Stop it.  Stop the hate.  Obama is antichrist. Minorities christian genocide by. Africans and Muslims. Illegals. Look. Look. At them invading chopping off arms legs heads on every race on video. ( BARE Naked ISLAM. COM AND YOUTUBE IT. SEE THE WHITE BABIES GETTING HEADS CUT OFF.  MEXICANS OR INDIANS OR ILLEGALS PROTEST WHITES.  YOUTUBE IT SEE THAT RACISM WHITES THAT HATE ?  Illegals threatens America.  YouTube threatens to cut whites heads off. See the hate. Africans blacks.   Illegals. Democratic Party. ANTIFA. LORETTA LYINCH CALLED FOR A CIVIL WAR ON WHITES. BLACKS ACTUALLY CALLED FOR A CIVIL WAR ON WHITES MEXICANS ASIAN LATINO. WHEN OBAMA ANTICHRIST CAME INTO OFFICE.   SEE HOW BLSCK HISTORY IS THE BIGGEST LIE ON EARTH.  YOUTUBE ????☪️UH UH LOOK WHATS HAPPENING AT THE MEXICO BORDER. ).  Get EVERY WHITE OUT IF America. OUT OF AFRICA.  WHITE GENOCIDE IN AMERICA AFRICA. NEXT.  DONT GO TO. MEXICO.  MORE AMERICAN WAS MURDERED IN MEXICO THAN WAS MURDERED IN AMERICA. THEY EVEN MURDERED TEACHERS THAT WAS PROTESTING IN MEXICO. DEMOCRATIC PARTY PROTEST FREEDOM OF SPEECH GUNS. GET GUNS BULLETS FOOD. WATTER. WHITES.  YES THEY HATE US.  BECAUSE JESUS CHRIST IS WHITE.READ MY POST.  JUST ADD (. 10 ZOMBIE VIRUS TO THEM PLAGUES LIST I PUT UP THERE !",0,"2018-04-19 12:24:09","2018-04-19 12:26:00",0,null
13364,Ugz5cFI4as2OYz5MK914AaABAg,ufHApVWmrpw,Tiger.,UCs-wesks4kykzLiFe0RsUqQ,"Well bring it on let’s get this over with ww 3","Well bring it on let’s get this over with ww 3",0,"2018-04-19 05:45:13","2018-04-19 05:45:13",0,null
13365,Ugz6bE_UZ8lPddx3RnV4AaABAg,ufHApVWmrpw,"Lynnpadapadas jones",UCBkqtOWuVCtQ2-D30JR8cvQ,"I seriously  doubt  it  putin is not that  dumb .","I seriously  doubt  it  putin is not that  dumb .",0,"2018-04-19 02:11:01","2018-04-19 02:11:01",0,null
13366,UgwJXJnSfX2opux6W7d4AaABAg,ufHApVWmrpw,"George L",UCA--V1uRxj-9cTThQnIJHmw,"think of your children, folks. prevent WW3!","think of your children, folks. prevent WW3!",0,"2018-04-18 21:58:31","2018-04-18 21:58:31",0,null
13367,UgwO78LeZhZqX4KrtLp4AaABAg,ufHApVWmrpw,"Lawrence Johnson",UCnpc5MuWmvlWEc8mKT1GjXQ,Loon,Loon,0,"2018-04-17 22:15:08","2018-04-17 22:15:08",0,null
13368,Ugw049jcPC29U-ulcrV4AaABAg,ufHApVWmrpw,"jennifer heath",UC2p6u95sDKpdradVLoOrk7Q,"Good to hear you Congress woman, ive wondered where you have been. I tell you everything is truly happening so fast. God bless you always.","Good to hear you Congress woman, ive wondered where you have been. I tell you everything is truly happening so fast. God bless you always.",0,"2018-04-17 21:19:06","2018-04-17 21:19:06",0,null
