id,comment_id,video_id,commenter_name,commenter_id,comment_displayed,comment_original,likes,published_date,updated_date,total_replies,replyto
7153,Ugw4yH4PBaHj-IcuEW94AaABAg,wLU1pWIJcuc,"Christopher Spiller",UC7_UIK8GQW8C55sVRpyTi3Q,"If they dont kill us all then the Christians and the Muslims Will cant wait Im ready","If they dont kill us all then the Christians and the Muslims Will cant wait Im ready",0,"2018-04-18 18:55:24","2018-04-18 18:55:24",0,null
7154,Ugw0IAcbjX5znj-iwFR4AaABAg,wLU1pWIJcuc,"White Devil",UC_44QYTkDkf5ltbuKaZ9z8A,"GO RUSSIA!!!","GO RUSSIA!!!",1,"2018-04-18 05:56:25","2018-04-18 05:56:25",0,null
7155,UgzKvEFm1PsQrR1kkb14AaABAg,wLU1pWIJcuc,"lufkin tape",UCQTCQRSUZTCad3dfaiYn-VQ,"Scary when you know that the 2 men with the buttons are both unstable ..","Scary when you know that the 2 men with the buttons are both unstable ..",0,"2018-04-16 10:33:26","2018-04-16 10:33:26",0,null
7156,UgwGnotxCV4TjE6Zfl94AaABAg,wLU1pWIJcuc,"mccolock maq",UCPLO9dhpHFor42gQH_AFVuw,"No release of chemicals is best proof there were none – employee of bombed Syrian research site  https://www.rt.com/news/424228-syria-strike-civilian-research-facility/","No release of chemicals is best proof there were none – employee of bombed Syrian research site  https://www.rt.com/news/424228-syria-strike-civilian-research-facility/",0,"2018-04-16 07:32:53","2018-04-16 07:32:53",0,null
7157,UgztDuMBWIF9X15IPkR4AaABAg,wLU1pWIJcuc,"mccolock maq",UCPLO9dhpHFor42gQH_AFVuw,"Who invited the 3 power Axis of Evil attack on Syria ? We know Russia was invited by the Syrian government?","Who invited the 3 power Axis of Evil attack on Syria ? We know Russia was invited by the Syrian government?",0,"2018-04-16 07:32:22","2018-04-16 07:32:22",0,null
7158,UgzHYvzpiD64RwX8AVZ4AaABAg,wLU1pWIJcuc,twaters57,UCld-viRPdg8zogUyuHvH9Aw,"From the US, Russia and Iran can not stop the axis of evil (US, NATO, Israel, Turkey, and Saudi Arabia). The axis of evil is exceptional at waging war. If Russia does not form an alliance with China, Pakistan, etc then Russia will be destroyed. Do not form an alliance with Turkey or India, both of these countries are back stabbers and puppets of axis of evil. The axis of evil is dead serious about destroying Syria, Iran, Russia, China, and who knows what other countries are on their list. These countries economies are collapsing and They need world hegemony to control world financing, trade, oil, etc to survive.","From the US, Russia and Iran can not stop the axis of evil (US, NATO, Israel, Turkey, and Saudi Arabia). The axis of evil is exceptional at waging war. If Russia does not form an alliance with China, Pakistan, etc then Russia will be destroyed. Do not form an alliance with Turkey or India, both of these countries are back stabbers and puppets of axis of evil. The axis of evil is dead serious about destroying Syria, Iran, Russia, China, and who knows what other countries are on their list. These countries economies are collapsing and They need world hegemony to control world financing, trade, oil, etc to survive.",0,"2018-04-16 00:45:05","2018-04-16 00:45:05",0,null
7159,UgyNe72V0MjOB2hVMwp4AaABAg,wLU1pWIJcuc,"Dennis Mahaney",UCsehY0MX3CroEcx_hBL0eyA,Hahahahaha,Hahahahaha,0,"2018-04-15 22:30:16","2018-04-15 22:30:16",0,null
7160,Ugwluo4bzNB7nDmAaoB4AaABAg,wLU1pWIJcuc,"marc bergy baxter",UCYldXdHDbWRZ17YxcVR3cqQ,"The terrorist organization known as the United States of Israel is going to get itself a black eye or much worse","The terrorist organization known as the United States of Israel is going to get itself a black eye or much worse",1,"2018-04-15 22:12:24","2018-04-15 22:33:02",0,null
7161,UgyoZwyZkIxLdlN9i954AaABAg,wLU1pWIJcuc,"Brian VandenBerg",UCoEkonv1NmozfhOVT06GdBg,"WWI America got pulled in..

WWII America got pulled in..
Then

@NATO @UN formed & US has been at war ever since...Pushing a “Human Rights & Democracy Agenda” 

Why are Businesses determined to get Russia & America into War?

0:43 @NATO @UN Shouldn’t the #VPN #LeftFlutterEH & #Click Crews be Executed Quickly? 
Cool Tech...Nuclear everywhere....my ivXXX Protocol Stolen & used to create Terrorist on Domestic soil ie #Parkland #Columbine ##SandyHook 
Not just perception but truth....
It is believable...
It has many Patents...
If International Community doesn’t agree on Death Penalty for misuse of my ivXXX Protocol, then your business only has value as a #CreateTerrorism for Profit #Click & should be dissolved (with Nuclear if needed)..","WWI America got pulled in..

WWII America got pulled in..
Then

@NATO @UN formed & US has been at war ever since...Pushing a “Human Rights & Democracy Agenda” 

Why are Businesses determined to get Russia & America into War?

0:43 @NATO @UN Shouldn’t the #VPN #LeftFlutterEH & #Click Crews be Executed Quickly? 
Cool Tech...Nuclear everywhere....my ivXXX Protocol Stolen & used to create Terrorist on Domestic soil ie #Parkland #Columbine ##SandyHook 
Not just perception but truth....
It is believable...
It has many Patents...
If International Community doesn’t agree on Death Penalty for misuse of my ivXXX Protocol, then your business only has value as a #CreateTerrorism for Profit #Click & should be dissolved (with Nuclear if needed)..",0,"2018-04-15 21:27:13","2018-04-15 21:27:13",0,null
7162,UgwTrNFrb2MHVzyLSpR4AaABAg,wLU1pWIJcuc,"Bernard Mathu",UCrlnEAHgsH3vEnb-KJCbRKg,"Prepared to go underground ?","Prepared to go underground ?",0,"2018-04-15 19:37:50","2018-04-15 19:37:50",0,null
7163,UgxU_ecCVSasib1kUGF4AaABAg,wLU1pWIJcuc,"Johan Viviers",UC3lL1bukvxdPLyktZRrXOxA,"WAR? it will not start........ are people distracted by the global food shortage?   the terrible diseases? or the masses uprises and killings?    or the worthless financial markets?         why do they bark bark bark?   perhaps because to distract people from the real issues?     the huge catastroohy.....the dying planet ruined beyond repair, trapped in an inevitable death spiral...... to give chance for the famous and rich to get into their GRAVES...SORRY I MEAN PREPARED BUNKERS?        Ezek 7:14+15.     Amos 9:1-4      when does hospitals start to inject and OD people to die?    perhaps when there is no money for health care?   I just wander?           or when do they do eye surgery without drops to deaden the eye before injecting it?     not enough money for health care? Im just wandering????","WAR? it will not start........ are people distracted by the global food shortage?   the terrible diseases? or the masses uprises and killings?    or the worthless financial markets?         why do they bark bark bark?   perhaps because to distract people from the real issues?     the huge catastroohy.....the dying planet ruined beyond repair, trapped in an inevitable death spiral...... to give chance for the famous and rich to get into their GRAVES...SORRY I MEAN PREPARED BUNKERS?        Ezek 7:14+15.     Amos 9:1-4      when does hospitals start to inject and OD people to die?    perhaps when there is no money for health care?   I just wander?           or when do they do eye surgery without drops to deaden the eye before injecting it?     not enough money for health care? Im just wandering????",1,"2018-04-15 18:17:01","2018-04-15 18:17:01",0,null
7164,Ugw5HbAIAVgb_U5s2J94AaABAg,wLU1pWIJcuc,notofthisworld,UCRKOwv23bG7QH0ZxMVv2EvQ,"They are all working together to use war to thin out the population of the world and bring in a one world governing system. America will be nuked. They have already chosen the areas where to place the bombs. 
1 Th_5:3  For when they shall say, Peace and safety; then sudden destruction shall come upon them, as travail upon a woman with child; and they shall not escape.","They are all working together to use war to thin out the population of the world and bring in a one world governing system. America will be nuked. They have already chosen the areas where to place the bombs. 
1 Th_5:3  For when they shall say, Peace and safety; then sudden destruction shall come upon them, as travail upon a woman with child; and they shall not escape.",0,"2018-04-15 17:58:52","2018-04-15 17:58:52",0,null
7165,UgyFY_o6TYLktl84WFN4AaABAg,wLU1pWIJcuc,jerryjamify,UCimFi87A_eVecs8LPYBZsNQ,"All theater folks, the Russians are playing to good guy. Its all bout world government.","All theater folks, the Russians are playing to good guy. Its all bout world government.",0,"2018-04-15 17:39:38","2018-04-15 17:40:02",0,null
7166,UgymnZjSJ4okmn-cds54AaABAg,wLU1pWIJcuc,"Sullen Sam",UC5oM1NWo72GNZTmc3mGyeZQ,"The main thing is target every nuclear missile to every enemy country, make completely ready. Cover all of Russia, China, Vietnam, North Korea, Syria, Iran, and Mexico. Make completely ready all anti nuclear missile batteries. Launch EMPS first to neutralize electronics, then nuke them into Oblivion !!! Not tomorrow not the day after tomorrow not 3 months from now not a year from now but now today immediately !!!!!!!!!!!!!!!!!!!!!!!","The main thing is target every nuclear missile to every enemy country, make completely ready. Cover all of Russia, China, Vietnam, North Korea, Syria, Iran, and Mexico. Make completely ready all anti nuclear missile batteries. Launch EMPS first to neutralize electronics, then nuke them into Oblivion !!! Not tomorrow not the day after tomorrow not 3 months from now not a year from now but now today immediately !!!!!!!!!!!!!!!!!!!!!!!",0,"2018-04-15 16:57:30","2018-04-15 16:57:30",0,null
7167,UgwP5dOg59eFMO77VKF4AaABAg,wLU1pWIJcuc,"RODNEY Schells",UC55iT83YjlhMpS6pafhhxPA,"The thing that the United States and Russia did not realize is that there are no winners in a nuclear war I mean this total Destruction this is the world its not just rushing its not just the United States is the whole damn world","The thing that the United States and Russia did not realize is that there are no winners in a nuclear war I mean this total Destruction this is the world its not just rushing its not just the United States is the whole damn world",0,"2018-04-15 16:50:34","2018-04-15 16:50:34",0,null
7168,Ugw-ObnGwPoTYgQDBJR4AaABAg,wLU1pWIJcuc,"Michael boisjoli",UCS4_FzJN0mtNO7CzjmZ1XdA,"60 minutes of propaganda","60 minutes of propaganda",0,"2018-04-15 16:26:12","2018-04-15 16:26:12",0,null
7169,Ugx7Gq3w10l3GUZItjB4AaABAg,wLU1pWIJcuc,"Catherine Monserie",UC_WMkXhlxRFaD-UMSgfNG7g,"trump is just following orders ,his masters ,the banksters ,tell him what to do
goldman sachs rules!","trump is just following orders ,his masters ,the banksters ,tell him what to do
goldman sachs rules!",0,"2018-04-15 16:13:46","2018-04-15 16:13:46",0,null
7170,UgxwvE7Cw-RGluE6ejh4AaABAg,wLU1pWIJcuc,2coryman,UC9eIZdhQUWhc8ZHgMlJ3-AQ,"PUTIN IS  A GLOBALIST WITH CHINA AND IRAN","PUTIN IS  A GLOBALIST WITH CHINA AND IRAN",0,"2018-04-15 15:07:07","2018-04-15 15:07:07",0,null
7171,UgzTzvbVyQbh9RUXAhh4AaABAg,wLU1pWIJcuc,"Jon Davis",UCJRxjdkmF-H7RapnuEPqnww,"Yes look at the war against masculinity. U damn right people think mentally were weak.","Yes look at the war against masculinity. U damn right people think mentally were weak.",0,"2018-04-15 15:02:21","2018-04-15 15:02:21",0,null
7172,UgwqJZuMaVmKmoSQfG54AaABAg,wLU1pWIJcuc,2coryman,UC9eIZdhQUWhc8ZHgMlJ3-AQ,"TAKE PUTIN’S RHETORIC SERIOUS AS WHAT IS IN HIS HEART AND INTENTIONS, ALSO BEWARE PUTIN IS A DECEPTIONIST  ALL SAD BECAUSE THERE IS NO VALID REASON WHY RUSSIA COULD NOT BE OUR FRIEND.  SO YOU SEE THERE IS AN EVIL FORCE AT WORK TO DESTROY THE HUMAN RACE","TAKE PUTIN’S RHETORIC SERIOUS AS WHAT IS IN HIS HEART AND INTENTIONS, ALSO BEWARE PUTIN IS A DECEPTIONIST  ALL SAD BECAUSE THERE IS NO VALID REASON WHY RUSSIA COULD NOT BE OUR FRIEND.  SO YOU SEE THERE IS AN EVIL FORCE AT WORK TO DESTROY THE HUMAN RACE",0,"2018-04-15 14:55:05","2018-04-15 15:03:35",0,null
7173,Ugysa1-Xl9IAeIJo4f14AaABAg,wLU1pWIJcuc,"Kevin S",UCk8eUxprp33oIaa86rx1K7w,"We are ready ? right we are not ready if Chinese back up Russian we done period 85 % our arms force are weak","We are ready ? right we are not ready if Chinese back up Russian we done period 85 % our arms force are weak",0,"2018-04-15 14:45:04","2018-04-15 14:45:04",0,null
7174,UgwKy3lIT1-EMa9fYEx4AaABAg,wLU1pWIJcuc,"world News 24",UCUaTbLWTukRdK-I_S3nQ_vg,"ok anh em người
viet","ok anh em người
viet",0,"2018-04-15 14:13:51","2018-04-15 14:13:51",0,null
7175,UgyYylKYa9qARqRtChp4AaABAg,wLU1pWIJcuc,"Mr G",UCI3sYXNDc9AfOMr10JGG7wg,"Jesus Christ is Lord,no country no leader no bomb will win the war,all will see soon","Jesus Christ is Lord,no country no leader no bomb will win the war,all will see soon",0,"2018-04-15 14:10:41","2018-04-15 14:10:41",0,null
7176,UgxKIipg-yf2xHFTSsl4AaABAg,wLU1pWIJcuc,"Born In the 804",UClDrv78wge0Y26G3q91ApGg,"Anybody that says anything negative about this country is called UnAmerican. Sad","Anybody that says anything negative about this country is called UnAmerican. Sad",0,"2018-04-15 14:00:07","2018-04-15 14:00:07",0,null
7177,UgyY748cNUhp10AKHuZ4AaABAg,wLU1pWIJcuc,"bill began",UC8SCU9FAfDjLta10NTK9fJA,"??????? funniest vid Ive seen in a long time,best PROPAGANDA award winning doc ever ??.  Pack a fat slow old pig with nukes and one missile can drop the pig. ?????✌✌✌","??????? funniest vid Ive seen in a long time,best PROPAGANDA award winning doc ever ??.  Pack a fat slow old pig with nukes and one missile can drop the pig. ?????✌✌✌",0,"2018-04-15 13:58:59","2018-04-15 13:58:59",0,null
7178,UgxY4tVvATCS0Zjgif54AaABAg,wLU1pWIJcuc,"majid janjua",UC4PRQq3YXLSBUZ2-rGRR9Zw,"Seems funny to attack wid b52 or tht big aircraft it can easily be intercepted destroyed in air ..","Seems funny to attack wid b52 or tht big aircraft it can easily be intercepted destroyed in air ..",0,"2018-04-15 11:43:18","2018-04-15 11:43:18",0,null
7179,UgxmrUzPnufL3L3W_xJ4AaABAg,wLU1pWIJcuc,"Nigel John",UC6aNM7oRqu9atM_UDJYX12Q,"Fake
Fuck america and western countries
Hope russia fuck us all
I will kill for you russia as a brit","Fake
Fuck america and western countries
Hope russia fuck us all
I will kill for you russia as a brit",0,"2018-04-15 11:32:41","2018-04-15 11:32:41",0,null
7180,Ugyh8zbQRkY6W7UzqUV4AaABAg,wLU1pWIJcuc,"Людмила Блажевич",UCaK_a8yBFzJsJn_eybSE1ew,"A chemical attack on civilian Syrians is the response of Russians to US sanctions against Russian oligarchs. Russia is a terroristic country. Russia is waging war against the whole world. It is necessary neutralize Russia. It is necessary to punish Russia.","A chemical attack on civilian Syrians is the response of Russians to US sanctions against Russian oligarchs. Russia is a terroristic country. Russia is waging war against the whole world. It is necessary neutralize Russia. It is necessary to punish Russia.",0,"2018-04-15 10:39:31","2018-04-15 10:39:31",2,null
7181,Ugyh8zbQRkY6W7UzqUV4AaABAg.8f38XlNhIQS8f3XupBmAYd,wLU1pWIJcuc,"Людмила Блажевич",UCaK_a8yBFzJsJn_eybSE1ew,"Michal Matas , no. I am Belarus citizen.","Michal Matas , no. I am Belarus citizen.",0,"2018-04-15 14:21:15","2018-04-15 14:21:15",0,Ugyh8zbQRkY6W7UzqUV4AaABAg
7182,Ugyh8zbQRkY6W7UzqUV4AaABAg.8f38XlNhIQS8f3X_OJKRgD,wLU1pWIJcuc,"Michal Matas",UCI-N1Mnn2Hay4EF-GP175yQ,"Are you an Ukraine citizen","Are you an Ukraine citizen",0,"2018-04-15 14:18:19","2018-04-15 14:18:19",0,Ugyh8zbQRkY6W7UzqUV4AaABAg
7183,Ugy2uHAIKbzRRq4zhGV4AaABAg,wLU1pWIJcuc,Mrs.,UCVvp6a4C59Y6Iuh7XJ6QA8g,"I dont blame Putin! And by the way our president pulled out of these treaties FIRST! Anyone awake Knows that Russia does not want war! Theyve tried multiple ways of reaching out not only to their allies and the un but also to the mainstream media liars! #NoMoreBrothersWars","I dont blame Putin! And by the way our president pulled out of these treaties FIRST! Anyone awake Knows that Russia does not want war! Theyve tried multiple ways of reaching out not only to their allies and the un but also to the mainstream media liars! #NoMoreBrothersWars",0,"2018-04-15 10:05:19","2018-04-15 10:05:19",0,null
7184,UgwOxZJisJzuFRWFCj54AaABAg,wLU1pWIJcuc,Abtanis,UCtC1fLae5sRV7J2gISEfFSQ,"if Putin is going to change eurpean boardes, the us has nothing but a fuck to do with. go home and take care of your own problems at home","if Putin is going to change eurpean boardes, the us has nothing but a fuck to do with. go home and take care of your own problems at home",0,"2018-04-15 08:50:57","2018-04-15 08:50:57",0,null
7185,UgyY9I-F23PTiZ0OaUJ4AaABAg,wLU1pWIJcuc,"Dan The man",UCUQSEJ7SPd7X_RkfF_xRyKA,"They did something to Trump!","They did something to Trump!",0,"2018-04-15 07:30:20","2018-04-15 07:30:20",0,null
7186,UgwUOZE-LcZqRimc4z14AaABAg,wLU1pWIJcuc,"Ryan Moore",UCt6icErc_QCcoZ87C_p_sRA,"You fuckers really need to watch the news?? UN was held last night and Putin stated any more strikes and there’d be war. So stfu for now ?","You fuckers really need to watch the news?? UN was held last night and Putin stated any more strikes and there’d be war. So stfu for now ?",0,"2018-04-15 07:15:58","2018-04-15 07:15:58",0,null
7187,UgxqS_50AwIN6-Qdz1B4AaABAg,wLU1pWIJcuc,Bill,UCKIWPJMUMfWeWJnLy3G04vw,"Putin has short man syndrome.
That gay little fucker is full of shit.
The US would wipe the floor with this little shit ass of a country.
The US is made up of 50 states that are the size of European countries.
50 plus our allies.","Putin has short man syndrome.
That gay little fucker is full of shit.
The US would wipe the floor with this little shit ass of a country.
The US is made up of 50 states that are the size of European countries.
50 plus our allies.",0,"2018-04-15 06:57:39","2018-04-15 06:57:39",0,null
7188,UgwA_O9ofBYUOIWNJYN4AaABAg,wLU1pWIJcuc,"evil Duck",UCjr3MPJY6C6tbfjfFLIFQ7A,"Russia has a history of evading UN sanctions.they say.??...   The US  has a history of evading HER own sanctions..
This while enforcing them for others at the same time..
The US spends more on defense that the next 12 countries together.  And its still not enough they say..","Russia has a history of evading UN sanctions.they say.??...   The US  has a history of evading HER own sanctions..
This while enforcing them for others at the same time..
The US spends more on defense that the next 12 countries together.  And its still not enough they say..",1,"2018-04-15 06:24:36","2018-04-15 06:24:36",0,null
7189,UgxO0Xw6wVvCrQriJr14AaABAg,wLU1pWIJcuc,"Aa Glad",UCGloncaY4d_OBs3XJE7SSCw,"central Florida???? isnt that where Disneyland is ??? them Russians are real bastards.","central Florida???? isnt that where Disneyland is ??? them Russians are real bastards.",0,"2018-04-15 06:05:53","2018-04-15 06:05:53",0,null
7190,UgxauSEIAc5FJVq7T2R4AaABAg,wLU1pWIJcuc,"chris griner",UCKfcondahB1DpA1Btw5PQAg,"A couple suitcase sized nukes strapped to some solar charged drones.","A couple suitcase sized nukes strapped to some solar charged drones.",0,"2018-04-15 06:00:51","2018-04-15 06:01:43",0,null
7191,UgwSfQfuGdHUpPZDMmx4AaABAg,wLU1pWIJcuc,"Gerson Souza",UC2_oqebY35TWZwMKlJ2bwSg,"Just drop the f** bomb","Just drop the f** bomb",0,"2018-04-15 05:32:27","2018-04-15 05:32:27",0,null
7192,Ugx-X0bL0SsoD28O9jp4AaABAg,wLU1pWIJcuc,"Madi King",UCrYz9NP4RFcM8fC4sxVWsyA,"Maek no sense","Maek no sense",0,"2018-04-15 05:27:35","2018-04-15 05:27:35",0,null
7193,UgxS9TSelOUQKvIAKmt4AaABAg,wLU1pWIJcuc,thumpergman,UCHcXzWHLaxE8Q8KINK1MIAw,"Isint the usa the only country to have used nukes in war","Isint the usa the only country to have used nukes in war",0,"2018-04-15 05:24:58","2018-04-15 05:24:58",0,null
7194,Ugxm0YOjskdU8jEWht94AaABAg,wLU1pWIJcuc,"Joe Jordan",UCnGiKeW-_U8VLiA-frs1Huw,"U.s. news media given propaganda to rush at the United States has the same weapons if the United States have 1960s technology and Russia had everything they have now the United States could still destroy Russia dont worry YouTubers what were three is not going to start soon and if it does you wont know the difference voice text","U.s. news media given propaganda to rush at the United States has the same weapons if the United States have 1960s technology and Russia had everything they have now the United States could still destroy Russia dont worry YouTubers what were three is not going to start soon and if it does you wont know the difference voice text",0,"2018-04-15 04:13:17","2018-04-15 04:13:17",0,null
7195,UgyqruU8YOljj-IhAA54AaABAg,wLU1pWIJcuc,"Stjepan Palinic",UCtF7LDi_KEl9dJ7mt89DfWg,"The USA and Russia will never go to war. Both country is like two big bears measuring each other’s size but are smart enough to see a fight would cause each to much damage","The USA and Russia will never go to war. Both country is like two big bears measuring each other’s size but are smart enough to see a fight would cause each to much damage",0,"2018-04-15 03:12:33","2018-04-15 03:17:48",0,null
7196,UgxiJb-H4Sv8SKrAMVJ4AaABAg,wLU1pWIJcuc,"sheila lozano",UCE_PDB5ao-fo7ni-u_Ekqkg,"Yes Russia and the USA should become friends that would be fabulous spread the love","Yes Russia and the USA should become friends that would be fabulous spread the love",0,"2018-04-15 02:49:33","2018-04-15 02:49:33",0,null
7197,Ugw1gC5AVQiKGI0NhMN4AaABAg,wLU1pWIJcuc,"Junior Lewing Koo",UCbU1DJS8oNFTJIIr3yumGQw,"Russia is no joke! Putin is smoothe, intellectual, cunning an a madman! Hes scary & unpredictable! God help us!","Russia is no joke! Putin is smoothe, intellectual, cunning an a madman! Hes scary & unpredictable! God help us!",0,"2018-04-15 02:48:35","2018-04-15 02:48:35",0,null
7198,Ugwi0TAsgQrQDtsWLB54AaABAg,wLU1pWIJcuc,"sheila lozano",UCE_PDB5ao-fo7ni-u_Ekqkg,"Thats your opinion but youre wrong most of us dont want war","Thats your opinion but youre wrong most of us dont want war",0,"2018-04-15 02:47:42","2018-04-15 02:47:42",0,null
7199,UgxjK2v0prH2whJ51-x4AaABAg,wLU1pWIJcuc,"Maura Mercado-Jonas",UCNVXE8MzjJOibS1EV6XXOyw,"This is what happens when an impulsive, corrupted, mental drained individual runs the country!!  Trump was told by Congress and many political analysts and former US officials not to attack, but he thought that he had the power by the grace of the devil who reigns in him!!!  AMERICANS who are for war and power, stop being arrogant!! , you dont have any idea of what this next WWlll can bring....","This is what happens when an impulsive, corrupted, mental drained individual runs the country!!  Trump was told by Congress and many political analysts and former US officials not to attack, but he thought that he had the power by the grace of the devil who reigns in him!!!  AMERICANS who are for war and power, stop being arrogant!! , you dont have any idea of what this next WWlll can bring....",1,"2018-04-15 02:32:22","2018-04-15 02:32:22",0,null
7200,UgzalfM_WhO2Y1fMCtB4AaABAg,wLU1pWIJcuc,"Michael Rostine",UCCtb8gTpqNaksOIMrkvLTPw,"I hope the grey aliens are listening to this so they can come down here and put a stop to this Armageddon.","I hope the grey aliens are listening to this so they can come down here and put a stop to this Armageddon.",0,"2018-04-15 02:21:52","2018-04-15 02:21:52",0,null
7201,Ugw-QjagNCx1XhmEnAB4AaABAg,wLU1pWIJcuc,"Rene Bechtold",UCKcAvA2rwQ_HrOmB9aI4evw,"no more leaders, they are like kids playing a game whit are lifes, its up to us to say no more presidents kings queens come on are we going to let them destroy earth","no more leaders, they are like kids playing a game whit are lifes, its up to us to say no more presidents kings queens come on are we going to let them destroy earth",1,"2018-04-15 02:18:31","2018-04-15 02:18:31",0,null
