id,comment_id,video_id,commenter_name,commenter_id,comment_displayed,comment_original,likes,published_date,updated_date,total_replies,replyto
5831,UgzeXzdyqhdXtJQX47Z4AaABAg,x-ZW7VQuE_w,"Abtsi Zootshaj",UC3xxgAR9SmhMcTsPCPtNGqw,"We r Americans and we will protect our country to keep it safest, now only putin haha its simple to us to handle.","We r Americans and we will protect our country to keep it safest, now only putin haha its simple to us to handle.",0,"2018-04-19 06:50:33","2018-04-19 06:51:23",0,null
5832,Ugy6dcQ2PwZJgRd9T4B4AaABAg,x-ZW7VQuE_w,"Under the most high",UCsFHTol_IsUNb3s_RaMV0gw,"who in the world do you think is backing North Korea and Syria its Russia Putins chess game is very ambitious and hes hungry for the power to rule the world just as the USA ruled it its all about power sign of the times and time where yah the most high will intervene in the latter part of this new world order it is what it is no prices of so-called products or going down is that the send that that has to be paid back to the oppressors of the world over everyone if youre not in a percentage of the one percenters","who in the world do you think is backing North Korea and Syria its Russia Putins chess game is very ambitious and hes hungry for the power to rule the world just as the USA ruled it its all about power sign of the times and time where yah the most high will intervene in the latter part of this new world order it is what it is no prices of so-called products or going down is that the send that that has to be paid back to the oppressors of the world over everyone if youre not in a percentage of the one percenters",0,"2018-04-19 06:14:58","2018-04-19 06:14:58",0,null
5833,UgzOgaTAfAdSOk16dwt4AaABAg,x-ZW7VQuE_w,"William So",UCdF79wYW--SOJJWvenec3Ew,"Those boastful Western countries, you better behave and watch your mouth... Dont mess with Russia and China......... Western Stupids Countries has To be BLAME  for this........","Those boastful Western countries, you better behave and watch your mouth... Dont mess with Russia and China......... Western Stupids Countries has To be BLAME  for this........",1,"2018-04-19 03:23:01","2018-04-19 03:40:45",0,null
5834,UgzZCGh_n3HVCI50wlR4AaABAg,x-ZW7VQuE_w,"Tyrell Tacheene",UCzXPGc5JQeWNBD_ehCNzOuA,"god please help us please","god please help us please",0,"2018-04-19 02:07:12","2018-04-19 02:07:12",0,null
5835,UgxYmbczXIsQ8r_KZJZ4AaABAg,x-ZW7VQuE_w,"Jairo Huezo",UC_0jD4YGPMQtBrMNn0u3zdQ,"Midnight 12:00....","Midnight 12:00....",0,"2018-04-18 19:27:34","2018-04-18 19:27:34",0,null
5836,UgwB-Awwtd8oXDtGD1t4AaABAg,x-ZW7VQuE_w,"Jairo Huezo",UC_0jD4YGPMQtBrMNn0u3zdQ,"God bless you all but this could happen they all force us to war and we have no choice but to let it happen...","God bless you all but this could happen they all force us to war and we have no choice but to let it happen...",0,"2018-04-18 19:26:02","2018-04-18 19:26:02",0,null
5837,Ugy_J1H_KiCguJ2O5BB4AaABAg,x-ZW7VQuE_w,"Cory Earle",UC2fCkkxx-zBf6hB2hzuN-Tw,"Gotta love how america thinks that they own the world and have unlimited rights to the planet....how about no.  No you dont so mind your business and stay the fuck away from other countries.","Gotta love how america thinks that they own the world and have unlimited rights to the planet....how about no.  No you dont so mind your business and stay the fuck away from other countries.",0,"2018-04-18 18:22:45","2018-04-18 18:22:45",0,null
5838,UgzY6nuRGrDjJUC5c-R4AaABAg,x-ZW7VQuE_w,"Akemi Chan",UCewtov0Wmq4lXY2573KuK5w,"Why do people frikken do This, Were all going to die if this doesnt Stop! We already have a war going on! Millions of Innocent people die from These Battles! Why cant we all get along! We are ruining this World just by doing this!! And this is Coming from an 11 Year old","Why do people frikken do This, Were all going to die if this doesnt Stop! We already have a war going on! Millions of Innocent people die from These Battles! Why cant we all get along! We are ruining this World just by doing this!! And this is Coming from an 11 Year old",0,"2018-04-18 16:16:17","2018-04-18 16:16:17",0,null
5839,Ugxsgt72KJzmTFAU7254AaABAg,x-ZW7VQuE_w,"Christopher Spiller",UC7_UIK8GQW8C55sVRpyTi3Q,"Oh well fuck it all anyway time to go back to the sun LOL","Oh well fuck it all anyway time to go back to the sun LOL",0,"2018-04-18 04:26:38","2018-04-18 04:26:38",0,null
5840,Ugx3ZHOzmDQkfK5iis54AaABAg,x-ZW7VQuE_w,TommyPlayzGamez,UCxZnE1E3fRzrD0Lxa15ejIw,"Is it a tragedy so many innocent people are going to die? Or is it poetic justice that such a careless, insecure, and short-sighted species will have to suffer the consequences of their actions?","Is it a tragedy so many innocent people are going to die? Or is it poetic justice that such a careless, insecure, and short-sighted species will have to suffer the consequences of their actions?",0,"2018-04-17 07:43:17","2018-04-17 07:43:17",0,null
5841,Ugynd4zce_C9GNOxbMZ4AaABAg,x-ZW7VQuE_w,"Jeff Beck",UClmLbTQggxCliCAlRKyHuIw,"Youre fired. :))","Youre fired. :))",0,"2018-04-16 21:35:47","2018-04-16 21:35:47",0,null
5842,UgxG34BY5a7U_4bUOzt4AaABAg,x-ZW7VQuE_w,"Jeff Beck",UClmLbTQggxCliCAlRKyHuIw,"Just start flipping switches, turning knobs and pushing buttons :)) Hay what does this red one do?  1 hour later...half the world now gone. lol","Just start flipping switches, turning knobs and pushing buttons :)) Hay what does this red one do?  1 hour later...half the world now gone. lol",0,"2018-04-16 21:32:13","2018-04-16 21:32:13",0,null
5843,Ugxcxp7d13KvX0dBFY94AaABAg,x-ZW7VQuE_w,"L.J Nguyen",UCxMSh8YndfsMdaUbV_C5dfQ,"We humans juz need to extinct ourselves and bring back the god damn dinosaurs!!","We humans juz need to extinct ourselves and bring back the god damn dinosaurs!!",0,"2018-04-16 20:39:09","2018-04-16 20:39:09",0,null
5844,UgxesX70V0oJd3meCgh4AaABAg,x-ZW7VQuE_w,"joseph Albert",UCTp2emt3A5uZxPKR0TQhGBg,"u rember the movie the day after. thats was scary.","u rember the movie the day after. thats was scary.",0,"2018-04-16 19:00:18","2018-04-16 19:00:18",0,null
5845,UgzKxlfvztU85SbkRoR4AaABAg,x-ZW7VQuE_w,"joseph Albert",UCTp2emt3A5uZxPKR0TQhGBg,"in 1983 we were minutes a way from a nukecler attac","in 1983 we were minutes a way from a nukecler attac",0,"2018-04-16 18:58:27","2018-04-16 18:58:27",0,null
5846,UgxvNmNK4fx5EaXJcQt4AaABAg,x-ZW7VQuE_w,"joseph Albert",UCTp2emt3A5uZxPKR0TQhGBg,"people all over the world will protest the war to stop","people all over the world will protest the war to stop",0,"2018-04-16 18:53:06","2018-04-16 18:53:06",0,null
5847,UgykQutrGC3Db5SDiOJ4AaABAg,x-ZW7VQuE_w,"joseph Albert",UCTp2emt3A5uZxPKR0TQhGBg,"iran Russia Syria and North Korea will all thow nouclae bum American England France will trow nuclear boms hitting. Russia Syria Iran and North Korea trupes.then the war will stop.then the Russian government will be over throne with a new government.who support democracy","iran Russia Syria and North Korea will all thow nouclae bum American England France will trow nuclear boms hitting. Russia Syria Iran and North Korea trupes.then the war will stop.then the Russian government will be over throne with a new government.who support democracy",0,"2018-04-16 18:43:20","2018-04-16 18:43:20",0,null
